"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,95.06024,90.12048,0,4600.85040000001
2,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,50,1,11150.4975999999
3,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,76.74699,63.73494,0,5925.8696
4,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,100,9.51807,0,11400.868
5,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,86.38554,91.68675,0,4625.35119999999
6,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,100,0,5457.71920000002
7,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,35.66265,50.36145,0,9759.45519999995
8,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,0,8.07229,0,6865.38719999997
9,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,20.60241,11.80723,0,4425.67519999998
10,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,70.24096,10.84337,0,4933.61039999999
11,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,85.18072,91.20482,0,6642.86400000006
12,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,15.66265,6.14458,1,8982.45920000016
13,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,76.62651,21.56627,0,4000.16400000008
14,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,85.18072,85.18072,0,5669.09440000017
15,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,96.0241,85.06024,0,2216.69440000004
16,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,100,100,0,8831.97820000004
17,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,76.86747,10.72289,0,9248.98240000001
18,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,50,40.84337,1,3142.16880000007
19,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,100,100,0,5208.29280000005
20,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,68.55422,55.90361,0,8500.66320000004
21,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,93.37349,94.21687,0,2399.80080000003
22,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,69.03614,48.31325,0,12200.4773999999
23,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,33.01205,22.28916,0,5266.576
24,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,23.37349,26.14458,0,4392.05119999999
25,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,100,50.12048,0,5800.8624000001
26,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,0,1,5916.9071999999
27,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,7.83133,20.60241,1,2841.66480000015
28,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,96.14458,96.0241,0,3008.08059999999
29,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,78.31325,68.07229,0,4568.15280000016
30,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,100,93.9759,0,13683.0675999999
31,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,73.85542,0,3625.18539999978
32,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,90.36145,4.09639,0,4175.19760000001
33,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,12.89157,0,4967.80139999994
34,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,100,100,0,4591.7680000001
35,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,79.03614,26.86747,0,10537.6480000003
36,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,38.19277,50,0,5940.97359999986
37,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,32.16867,45.66265,1,8650.92939999996
38,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,56.86747,9.03614,0,6033.45039999997
