"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,50,20.72289,1,17770.588
2,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,60,11.3253,0,12198.8365
3,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,60.60241,58.6747,0,20883.4064
4,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,42.28916,34.09639,0,13595.8728
5,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,30.84337,28.55422,0,14673.5008000002
6,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,58.19277,39.87952,0,8266.95280000008
7,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,96.62651,62.53012,0,12158.8784000001
8,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,55.90361,20,0,10241.976
9,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,100,23.49398,0,7132.46480000019
10,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,59.87952,50,0,9058.12959999996
11,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,64.57831,36.86747,1,10900.9271999999
12,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,89.39759,50,0,10533.8144000001
13,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,50,15.18072,0,10052.0648
14,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,58.31325,67.46988,0,8807.94320000027
15,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,55.3012,42.16867,0,9369.22160000011
16,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,100,66.38554,0,8031.64800000005
17,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,100,59.15663,0,7821.3632000002
18,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,52.40964,30,0,11786.1632
