Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,63.49398,36.14458,0
2,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,73.01205,42.6506,1
3,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,66.74699,34.6988,0
4,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,16.0241,57.22892,0
5,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,24.57831,36.38554,0
6,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,54.09639,46.0241,0
7,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,36.62651,39.03614,0
8,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,39.87952,42.89157,0
9,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,83.73494,72.04819,0
10,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,70.12048,37.3494,0
11,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,77.10843,39.27711,0
12,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,41.80723,29.87952,0
13,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,84.6988,43.73494,0
14,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,42.77108,44.93976,0
15,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,44.81928,43.13253,0
16,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,56.38554,19.51807,0
17,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,82.16867,81.20482,0
18,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,55.90361,42.89157,0
19,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,79.39759,45.66265,0
20,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,63.73494,41.20482,0
21,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,62.40964,29.87952,0
22,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,43.9759,33.25301,0
23,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,59.87952,43.37349,0
24,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,15.90361,63.73494,0
25,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,16.74699,30.72289,0
26,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,92.53012,73.25301,0
27,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,80.12048,45.78313,0
28,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,29.03614,38.55422,0
29,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,24.93976,20.0,0
30,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,96.14458,17.95181,0
31,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,43.13253,36.0241,0
32,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,35.42169,34.09639,0
33,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,73.25301,55.78313,0
34,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,47.10843,47.59036,0
35,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,89.51807,56.62651,0
36,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,53.9759,44.93976,0
37,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,96.74699,53.49398,0
38,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,72.6506,39.75904,0
39,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,44.81928,58.43373,0
40,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,8.19277,45.78313,0
41,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,21.92771,22.40964,0
42,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,63.37349,47.71084,0
43,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,98.55422,63.73494,0
44,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,87.22892,46.86747,0
45,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,28.79518,27.95181,0
46,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,67.95181,40.60241,0
