Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,72.28916,42.28916,0
2,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,29.75904,31.20482,0
3,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,73.25301,73.01205,0
4,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,81.68675,60.72289,0
5,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,59.75904,60.60241,1
6,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,88.43373,77.22892,0
7,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,88.79518,83.73494,0
8,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,59.87952,39.39759,0
9,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,70.60241,39.39759,0
10,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,43.13253,37.10843,1
11,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,85.78313,76.26506,0
12,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,4.93976,8.43373,0
13,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,28.43373,27.3494,0
14,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,95.3012,87.10843,0
15,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,67.46988,14.33735,0
16,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,50.60241,28.31325,0
17,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,84.45783,73.01205,0
18,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,57.71084,45.54217,0
19,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,61.68675,41.44578,0
20,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,55.66265,45.66265,1
21,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,42.04819,42.16867,0
22,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,44.93976,39.87952,0
