Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,19.03614,8.31325,1
2,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,22.89157,31.44578,0
3,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,85.54217,8.43373,0
4,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,100.0,1.20482,0
5,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,100.0,0
6,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,24.81928,28.55422,1
7,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,81.68675,73.73494,0
8,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,43.61446,57.10843,0
9,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,74.33735,48.07229,0
10,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,0.0,0.0,1
11,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,44.09639,39.87952,1
12,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,84.93976,77.95181,0
13,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,70.48193,64.57831,0
14,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,90.96386,86.74699,0
15,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,78.43373,30.24096,0
16,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,76.38554,68.79518,0
17,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,96.62651,27.59036,1
18,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,93.13253,68.07229,0
19,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,15.06024,17.71084,0
20,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,66.74699,42.28916,0
21,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,72.6506,50.0,0
22,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,12.16867,58.6747,0
23,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,79.03614,10.96386,0
24,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,95.78313,98.31325,0
25,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,41.68675,50.0,0
26,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,36.38554,39.39759,0
27,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,25.18072,28.31325,0
28,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,100.0,74.21687,0
