"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,81.44578,50,0,683.387999999992
2,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,6.38554,50,1,12698.0605999999
3,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,50,21.80723,0,2324.88299999994
4,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,0.36145,0,1,8592.04769999994
5,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,50,0.60241,0,4408.3435000001
6,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,86.14458,50,0,4341.99550000005
7,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,13.73494,50,0,2199.90720000008
8,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,50,50,0,6558.40509999989
9,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,99.03614,0.48193,0,8432.82459999997
10,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,50,50,0,5911.611
11,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,6.26506,50,1,7416.7315
12,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,65.18072,50,0,15150.8245999994
13,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,50,50,0,4498.7181
14,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,84.57831,50,1,9365.83530000004
15,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,50,1,4690.31789999991
16,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,99.75904,12.53012,0,5754.74559999973
17,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,50,50,0,5966.99010000023
18,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,91.80723,50,0,1369.22269999993
19,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,0,3.73494,0,1008.01629999996
20,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,50,0.24096,0,4474.9395000001
