Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,18.31325,16.14458,1
2,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,100.0,39.15663,0
3,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,100.0,100.0,0
4,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,65.06024,44.45783,0
5,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,32.77108,47.95181,0
6,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,62.04819,41.20482,0
7,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,53.13253,21.44578,0
8,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,0.0,0
9,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,35.18072,38.07229,0
10,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,56.98795,27.10843,1
11,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,77.95181,30.48193,0
12,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,100.0,100.0,0
13,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,6.98795,44.33735,0
14,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,65.54217,32.28916,1
15,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,0.0,33.37349,0
16,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,17.71084,48.43373,0
17,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,0.0,0.0,0
18,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,0.0,18.43373,1
19,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,21.80723,24.09639,0
20,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,70.48193,41.68675,0
21,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,63.85542,34.57831,0
22,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,20.72289,1
23,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,100.0,0
24,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,79.15663,43.37349,0
25,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,100.0,100.0,0
26,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,100.0,81.20482,0
27,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,79.15663,25.66265,0
28,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,50.0,16.38554,1
29,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,71.92771,9.75904,0
30,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,86.0241,14.93976,0
31,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,0.0,0.0,1
32,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,100.0,56.86747,0
33,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,7.71084,28.55422,0
34,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,100.0,100.0,0
35,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0.0,0.0,0
36,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,100.0,71.20482,0
37,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,30.36145,47.95181,0
38,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,88.91566,73.9759,0
39,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,60.60241,47.46988,0
40,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,0.0,0
41,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,69.51807,19.15663,0
42,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,100.0,100.0,0
43,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,66.86747,34.6988,0
44,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,64.93976,39.51807,0
45,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,72.16867,16.98795,0
46,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,22.04819,21.08434,0
47,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,55.18072,29.15663,0
48,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,87.71084,74.21687,0
49,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,42.16867,23.37349,0
50,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50.0,50.0,1
51,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,85.42169,100.0,0
52,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,16.62651,0.0,0
53,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100.0,80.48193,0
54,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,24.57831,43.25301,1
55,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,100.0,65.66265,0
56,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,65.18072,25.66265,0
57,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,71.08434,0.0,0
58,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,100.0,19.63855,0
59,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,42.16867,33.13253,0
60,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,76.14458,41.68675,0
61,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,100.0,0
62,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,71.80723,64.6988,0
63,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,36.38554,36.98795,0
64,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,0.0,0.0,0
65,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,88.19277,61.08434,1
66,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,79.03614,31.68675,0
67,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,60.0,15.54217,0
68,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,100.0,7.46988,0
69,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100.0,100.0,0
70,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,41.56627,50.0,1
71,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,100.0,100.0,0
72,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,64.57831,44.81928,1
73,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,83.85542,21.20482,0
74,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,79.03614,62.6506,0
75,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,50.0,45.18072,1
76,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,58.6747,44.6988,0
77,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,0.0,33.13253,0
78,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,33.13253,18.6747,0
79,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,30.24096,20.36145,1
80,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,57.10843,43.49398,0
