"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,71.68675,42.40964,0,16986.8408
2,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,64.57831,40.36145,0,7430.20060000008
3,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,61.08434,39.75904,0,9173.37199999999
4,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,65.54217,33.01205,0,6235.99199999992
5,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,96.26506,50,0,19252.716
6,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,50,18.91566,1,11431.4695999997
7,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,78.31325,77.59036,0,11675.2337999999
8,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,27.59036,0,0,22275.0824
9,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,76.50602,71.44578,0,10342.1848
10,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,100,100,0,3833.31139999992
11,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,100,100,0,6775.53680000009
12,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,59.03614,50,1,11000.4329999999
13,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,77.3494,0,0,12657.9247999995
14,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,50,50,1,23599.2448000006
15,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,22.04819,15.90361,0,20275.3702
16,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,13.9759,0,0,5741.5642000002
17,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,73.85542,27.46988,0,5533.46399999998
18,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,50,0,1,4371.25999999978
