"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,50,50,0,5041.87519999995
2,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,23.01205,50,1,4921.59359999998
3,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,50,50,0,5100.44679999998
4,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,100,50,0,7120.39920000003
5,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,24.57831,50,0,6166.74199999998
6,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,50,0,6049.8876
7,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,100,50,0,5283.50320000001
8,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,100,50,0,4668.69840000004
9,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,25.66265,50,1,6482.61960000005
10,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,100,50,0,5233.88759999997
11,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,50,50,0,4588.03000000003
12,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,50,50,0,5116.72599999991
13,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,50,0,3872.39439999999
14,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,50,50,1,6383.0368
15,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,50,0,5058.2396
16,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,50,50,0,5518.45240000016
17,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,100,50,0,4498.52359999996
18,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,32.16867,50,0,5879.54439999993
19,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,100,50,0,6099.90440000006
20,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,50,50,0,4697.28040000011
21,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,100,50,0,4741.85679999995
22,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,50,50,0,5687.57719999991
23,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,33.37349,50,0,3742.11120000001
24,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,40.72289,50,0,5975.49639999989
25,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,70.96386,50,0,5541.69280000002
