"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,27.71084,28.79518,0,12407.7295999999
2,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,50.24096,49.75904,1,9790.34400000006
3,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,31.20482,39.27711,0,191.871199999995
4,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,73.73494,67.10843,0,2653.17839999997
5,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,18.6747,18.43373,0,734.353100000007
6,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,43.85542,44.6988,0,235.39360000001
7,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,54.09639,45.54217,0,5364.45999999991
8,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,33.85542,36.14458,1,1312.2352
9,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,95.78313,90.60241,0,6377.72050000012
10,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,85.66265,83.37349,0,1393.15139999997
11,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,94.33735,85.90361,0,4985.57309999992
12,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,69.51807,54.6988,0,1306.09520000001
13,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,24.09639,25.90361,1,1101.01519999997
14,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,45.06024,44.09639,1,2748.76450000002
15,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,44.6988,43.13253,0,1451.45470000003
16,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,46.38554,46.74699,1,5089.87919999994
17,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,65.78313,63.37349,0,80.4824000000081
18,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,47.22892,46.38554,1,0
19,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,58.91566,47.46988,0,405.352799999993
20,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,98.31325,98.6747,0,2272.5472
21,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,64.93976,59.03614,0,1605.3173
22,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,47.22892,47.95181,1,1223.48639999997
23,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,69.03614,53.85542,0,1022.30320000002
24,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,7.3494,10.36145,0,931.52589999995
25,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,72.16867,38.91566,0,553.018399999973
26,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,65.42169,54.33735,0,1212.59759999981
27,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,46.14458,45.18072,0,424.879200000084
28,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,22.40964,4.21687,1,867.389599999937
29,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,58.19277,54.21687,0,177.767200000002
30,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,82.28916,42.77108,0,0
31,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,46.74699,46.26506,1,1172.11840000009
32,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,12.28916,10.84337,1,3540.95759999985
33,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,52.16867,52.16867,1,4023.33199999999
34,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,46.50602,46.38554,0,1197.46239999996
