Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,93.73494,5.66265,1
2,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,6.62651,49.75904,1
3,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,94.33735,44.93976,0
4,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,73.13253,58.91566,1
5,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,97.3494,45.42169,0
6,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,24.33735,33.49398,1
7,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,32.16867,13.73494,0
8,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,96.74699,63.85542,1
9,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,70.96386,46.0241,1
10,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,97.95181,8.07229,0
11,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,94.81928,60.96386,0
12,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,34.45783,27.59036,0
13,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,2.77108,3.13253,0
14,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,73.9759,13.01205,1
15,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,64.45783,58.6747,1
16,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,93.49398,64.21687,0
17,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,78.43373,18.91566,0
18,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,100.0,20.12048,0
19,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,86.62651,78.6747,0
20,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,69.87952,34.09639,0
21,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,89.51807,68.19277,0
22,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,39.75904,3.9759,1
23,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,40.36145,50.0,0
24,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,99.87952,7.59036,0
25,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,96.0241,72.16867,0
26,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,73.13253,36.38554,0
27,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,26.62651,34.33735,0
28,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,88.79518,87.22892,0
29,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,80.84337,80.0,1
30,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,37.95181,16.50602,0
31,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,32.89157,21.3253,0
32,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,37.3494,24.57831,0
33,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,17.3494,29.75904,0
34,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,94.81928,78.31325,0
35,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,42.53012,27.10843,0
36,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,99.87952,39.39759,1
37,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,70.84337,28.31325,0
38,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,15.66265,27.83133,0
39,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,95.3012,47.3494,0
40,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,38.55422,23.01205,0
41,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,93.9759,60.60241,1
42,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,86.38554,39.03614,0
43,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,85.18072,36.14458,0
44,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,87.3494,5.66265,0
45,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,64.21687,69.27711,0
46,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,94.57831,93.01205,0
47,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,97.22892,74.6988,0
48,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,65.3012,10.72289,0
49,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,69.27711,36.14458,1
50,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,74.81928,39.27711,0
51,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,81.08434,1
52,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,73.9759,62.6506,1
53,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100.0,66.26506,0
54,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,76.98795,23.25301,1
55,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,91.68675,28.07229,0
56,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,74.21687,59.39759,1
57,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,30.84337,43.9759,0
58,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,86.38554,76.86747,0
59,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,70.60241,63.13253,0
60,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,98.55422,27.83133,0
