Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,26.50602,37.3494,1
2,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,8.55422,77.83133,0
3,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,100.0,100.0,0
4,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,30.96386,30.24096,0
5,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,24.33735,37.95181,0
6,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,9.39759,73.49398,1
7,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,36.62651,0
8,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,100.0,100.0,0
9,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,86.0241,79.75904,1
10,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,35.90361,37.10843,1
11,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,58.43373,38.43373,0
12,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,33.73494,40.60241,1
13,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,0.0,21.92771,0
14,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,75.42169,0
15,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,73.13253,33.9759,0
16,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,6.98795,82.77108,0
17,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,60.84337,39.27711,0
18,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,22.04819,36.74699,1
19,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,84.21687,69.63855,0
20,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,88.19277,75.90361,0
21,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,90.72289,100.0,0
22,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,92.89157,20.60241,0
23,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,94.57831,80.0,0
