"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,87.59036,8.6747,0,19326.7111999999
2,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,75.06024,66.0241,0,8719.23560000003
3,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,37.22892,25.78313,1,10401.7232
4,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,65.42169,49.75904,1,8262.5536000001
5,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,73.61446,26.86747,1,11335.1175999997
6,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,79.75904,39.51807,0,3816.74079999997
7,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,12.89157,62.77108,0,11367.0832000001
8,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,86.62651,2.6506,1,7073.0900000002
9,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,50,0,10950.2552
10,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,72.28916,0,0,9932.54199999996
11,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,94.21687,91.68675,1,7434.39920000004
12,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,89.87952,50,0,7291.82959999985
13,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,78.6747,50,0,3700.0784
14,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,73.13253,64.81928,1,3283.98120000001
15,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,35.54217,0.24096,1,8333.14719999989
16,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,89.15663,77.59036,0,4533.47280000005
17,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,75.3012,64.09639,0,9760.56640000025
18,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,76.0241,23.25301,1,14983.3360000003
19,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,50,50,1,6367.05640000006
20,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,50,50,1,6567.08599999995
21,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,1.08434,16.74699,1,6600.12320000003
22,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,50,50,1,8174.90600000031
23,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,6.14458,6.14458,1,6566.90320000017
24,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,66.38554,0,5741.42639999988
25,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,100,0,0,6475.60760000016
26,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,23.13253,0.36145,1,12276.7403999998
27,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,34.33735,50,0,4734.78360000008
28,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,68.07229,20.60241,0,5850.32960000011
29,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,87.46988,74.6988,0,3966.68120000011
30,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,31.56627,15.66265,0,7674.37200000009
31,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,26.74699,50,0,6508.13319999999
32,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,50,41.08434,1,5715.01439999981
33,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,65.66265,76.86747,0,13252.9455999998
34,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,88.55422,51.20482,0,7683.60720000038
35,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,50,50,1,10224.9587999999
36,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,83.25301,50,0,5866.42799999984
37,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,75.90361,26.38554,0,8033.55400000006
38,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,50,50,1,6233.47400000011
39,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,69.39759,50,1,7494.19119999959
40,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,99.51807,50,1,5695.47199999972
41,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,50,50,1,9866.24280000001
42,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,50,50,1,6584.03440000012
43,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,35.78313,9.27711,1,10891.7840000006
44,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,62.28916,38.79518,1,9062.08759999986
45,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,13.25301,37.46988,1,6042.44559999986
46,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,85.06024,80.24096,0,4300.30159999954
47,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,84.93976,75.66265,1,5625.43080000009
48,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,99.39759,87.95181,1,4149.7771999999
49,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,61.20482,9.75904,0,7732.63399999996
50,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,58.07229,57.71084,1,9918.31879999954
51,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,83.25301,60.96386,0,10542.6416000007
52,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,90.48193,3.01205,0,9600.01480000012
53,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,57.3494,50,0,7008.61479999928
54,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,96.0241,88.31325,0,6706.48400000017
55,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,42.40964,45.18072,0,12087.2892000002
56,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,50,4.45783,0,7134.22520000045
57,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,44.6988,39.63855,0,9719.9212000001
58,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,73.85542,25.18072,0,6366.81080000138
59,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,0.24096,0,4374.94759999972
60,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,60.36145,41.56627,0,14829.0787999997
61,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,68.43373,0,3941.74279999989
62,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,80,84.09639,0,3000.77160000021
63,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,50,50,1,12007.7008000005
64,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,33.9759,35.66265,1,3099.68680000002
65,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,82.77108,50,1,8416.53000000038
66,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,86.98795,50.36145,0,6961.85320000037
67,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,67.10843,32.28916,1,14333.0172000002
68,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,86.50602,65.78313,1,4308.31399999978
69,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,67.83133,17.95181,0,5441.93680000003
70,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,81.92771,0.84337,0,5175.41959999956
71,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,96.86747,36.98795,0,5313.96520000009
72,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,56.38554,33.9759,1,9308.75839999958
73,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,81.68675,75.78313,0,5867.27719999989
74,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,50,50,0,3651.49159999983
75,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,97.71084,30.12048,0,6085.32639999909
76,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,63.73494,3.73494,0,5372.71799999988
77,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,54.93976,50,0,4300.18359999988
78,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,86.14458,50,0,4907.48839999968
79,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,0,0,0,4402.68720000051
80,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,50,1,5300.13760000014
81,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,50,50,1,4667.14520000038
82,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,52.28916,1.44578,1,3429.48400000017
83,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,40.36145,50,1,6319.37519999943
84,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,50,50,1,8824.31080000009
85,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,59.51807,26.26506,0,3591.77119999984
86,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,66.74699,66.86747,0,8684.01240000059
87,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,63.9759,50,1,6966.38519999932
88,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,50,50,1,13178.8720000002
89,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,49.51807,51.20482,0,3925.08399999933
90,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,35.78313,50,1,9655.46200000029
91,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,39.27711,50,1,6691.65879999986
92,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,11.44578,12.53012,1,6397.70880000084
