"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,85.66265,40,0,11369.136
2,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,41.20482,41.20482,1,10800.6064
3,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,75.18072,32.77108,0,17364.4808
4,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,53.9759,53.37349,0,8491.60439999995
5,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,94.21687,70.24096,0,12556.2432
6,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,83.73494,73.13253,0,9814.09600000002
7,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,61.08434,47.46988,0,8019.27319999997
8,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,16.26506,16.62651,0,10495.1484000001
9,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,86.50602,28.07229,0,8638.5308000001
10,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,60.84337,45.18072,0,8470.40240000028
11,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,19.15663,16.26506,0,5960.41839999988
12,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,61.80723,39.27711,0,9989.09600000017
13,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,73.01205,50,0,10330.1316
14,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,76.62651,65.66265,0,11285.9584
15,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,62.6506,50,0,7364.96640000012
16,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,76.74699,50,1,7561.02000000008
17,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,33.85542,1,7107.20319999999
18,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,85.3012,44.81928,0,9096.0328000001
19,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,95.3012,87.95181,0,5894.15720000002
20,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,73.9759,50,0,8813.06480000005
21,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,81.68675,56.38554,0,8881.3483999999
22,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,84.81928,61.20482,0,4671.46760000003
23,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,74.57831,62.04819,0,15189.2883999998
