Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,100.0,77.71084,0
2,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,69.27711,37.71084,0
3,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,60.12048,50.60241,1
4,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,0.0,0
5,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,66.50602,44.93976,0
6,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,72.16867,30.72289,0
7,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,74.45783,0
8,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,100.0,76.0241,0
9,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,37.71084,50.0,0
10,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,63.49398,40.72289,0
11,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,58.91566,50.0,0
12,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,63.49398,57.46988,0
13,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0.0,36.38554,0
14,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,50.0,1
15,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,66.0241,0.0,0
16,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,68.91566,57.59036,0
17,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,56.0241,54.21687,0
18,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,60.36145,39.27711,0
19,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,81.80723,70.72289,0
20,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,63.13253,68.31325,0
21,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,50.0,50.0,1
22,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,60.60241,50.0,0
23,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,50.0,50.0,1
24,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,54.93976,45.66265,0
25,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,28.6747,35.06024,0
26,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,56.62651,50.0,0
27,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,39.87952,50.0,1
28,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,59.39759,50.0,0
29,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,61.68675,50.0,0
30,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,62.28916,50.12048,0
31,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,43.01205,50.0,0
32,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,81.3253,41.92771,0
33,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,73.61446,36.26506,0
34,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,87.95181,36.38554,0
35,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,50.0,50.0,1
36,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,65.06024,41.08434,0
37,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,68.31325,43.61446,0
38,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,52.77108,50.0,0
39,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,62.6506,53.61446,0
