"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,35.54217,32.53012,0,18152.1496
2,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,22.53012,30.84337,0,27457.7694
3,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,41.80723,52.53012,0,30199.9030999997
4,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,100,82.28916,0,14793.3279999999
5,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,46.14458,22.04819,0,25116.7678999997
6,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,50.12048,37.59036,1,35867.5984
7,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,56.26506,41.3253,0,19267.7535999999
8,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,100,80.36145,0,13250.2456000001
9,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,40.36145,22.40964,1,12396.0943999998
10,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,72.6506,73.25301,0,33723.7486999996
11,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,22.6506,13.37349,0,22421.2945000001
12,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,8.6747,17.95181,0,21849.5798000002
13,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,7.22892,16.14458,0,9776.55050000001
14,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,46.62651,43.13253,1,20712.5173999998
15,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,78.19277,50.48193,0,18042.9223000003
16,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,19.75904,29.15663,0,17931.6343999997
17,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,51.44578,30.84337,1,18122.7119000005
18,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,34.09639,15.06024,1,27792.3680000003
19,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,95.18072,65.3012,0,18210.4759999997
20,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,50,40.24096,1,20715.4201000001
21,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,100,100,0,8451.97919999936
22,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,100,65.42169,1,9516.97029999958
23,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,27.95181,29.27711,0,15009.2689999995
24,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,66.26506,36.26506,1,35244.5782999992
25,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,99.63855,50,0,6150.14070000034
26,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,60,35.06024,0,23837.1095999996
27,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,83.9759,74.21687,0,16500.2286999994
28,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,43.37349,45.18072,0,11443.8263000003
29,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,77.10843,17.10843,0,14116.9624999997
30,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,50.24096,31.20482,1,12775.3135999992
31,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,47.59036,64.93976,1,24438.3078999997
32,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,49.75904,37.59036,1,23692.0608999996
33,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,7.71084,18.91566,0,11892.4768000002
34,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,37.71084,25.3012,0,19668.2208000004
35,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,29.39759,24.6988,1,10566.7518999995
36,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,59.87952,30.24096,0,15284.4174999992
