Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,30.36145,0
2,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,69.63855,5.78313,0
3,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,94.57831,32.53012,0
4,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,99.39759,0.0,0
5,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,9.27711,45.18072,1
6,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,71.68675,4.81928,0
7,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,60.96386,50.0,1
8,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,70.24096,7.3494,0
9,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,73.01205,50.0,0
10,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.72289,0.0,0
11,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,71.44578,28.55422,1
12,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,61.56627,50.0,0
13,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,71.08434,9.03614,0
14,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,60.72289,15.42169,0
15,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,74.57831,30.72289,1
16,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,100.0,97.46988,0
17,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,33.49398,20.84337,1
18,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,84.6988,90.0,0
19,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,82.16867,26.26506,0
20,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,59.87952,11.44578,1
21,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,11.20482,10.60241,1
22,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,100.0,0.0,0
23,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,99.51807,76.86747,0
24,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,97.59036,67.71084,0
25,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,36.98795,50.0,1
26,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,96.62651,87.10843,0
27,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,59.51807,50.0,0
28,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,98.07229,0.0,0
29,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,28.79518,12.04819,1
30,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,97.59036,87.59036,0
31,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,91.3253,82.04819,1
32,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,85.18072,72.53012,1
33,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,74.45783,38.31325,0
34,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,37.95181,50.0,1
35,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,100.0,17.10843,0
36,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,94.45783,88.91566,0
