Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,4.33735,54.09639,0
2,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,63.25301,39.51807,0
3,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,25.90361,0.0,1
4,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,0.0,0
5,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,73.25301,50.0,1
6,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,23.13253,6.0241,0
7,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,97.46988,0
8,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,100.0,83.9759,1
9,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,30.72289,22.28916,1
10,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,70.36145,28.91566,1
11,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,0.0,0.0,0
12,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,0.0,0.0,1
13,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0.0,0.0,1
14,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,0.0,2.04819,1
15,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,19.51807,41.20482,0
16,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,11.80723,16.74699,1
17,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,33.37349,16.38554,1
18,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,0.0,31.20482,1
19,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,60.84337,56.14458,0
20,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,78.07229,86.14458,1
21,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,8.07229,13.9759,1
22,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,25.42169,8.43373,1
23,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,23.9759,33.25301,1
24,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,73.37349,43.49398,1
25,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,22.04819,58.07229,0
26,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,75.06024,67.95181,0
27,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,0.0,0.0,1
