Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,0.0,4.81928,0
2,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,80.36145,73.37349,0
3,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,13.49398,18.07229,0
4,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,25.78313,30.72289,1
5,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,60.24096,60.36145,1
6,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,77.83133,1.68675,0
7,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,50.0,50.0,0
8,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,76.38554,22.04819,1
9,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,84.57831,30.72289,1
10,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,1.08434,0.0,0
11,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,62.28916,60.48193,0
12,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,89.63855,21.08434,0
13,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,91.08434,75.42169,0
14,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,64.57831,4.21687,0
15,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,2.28916,90.84337,1
16,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,9.75904,21.44578,0
17,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,75.42169,70.36145,1
18,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,19.87952,24.81928,1
19,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,93.85542,78.55422,0
20,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,20.72289,30.96386,0
21,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,20.36145,51.44578,0
22,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,84.57831,36.14458,0
23,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,94.45783,91.3253,0
