"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,4.6988,0,9712.69360000007
2,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,55.06024,39.63855,0,13087.336
3,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,92.53012,63.61446,0,12298.38
4,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,14.21687,0,0,5039.80960000008
5,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,0,0,0,11126.5008
6,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,27.22892,40.12048,0,8348.60000000002
7,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,56.86747,43.13253,0,10250.5448000001
8,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,7.59036,16.0241,1,14251.0935999998
9,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,63.9759,36.26506,0,9490.93999999995
10,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,81.68675,69.63855,0,7685.13760000002
11,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,3.37349,7.10843,1,13005.2919999999
12,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,98.07229,92.89157,0,5736.63039999991
13,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,98.07229,85.54217,0,5876.08159999992
14,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,85.66265,83.13253,0,6578.83439999996
15,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,99.75904,94.21687,0,5300.54240000006
16,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,57.95181,40.60241,0,3766.28480000002
17,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,80,70.96386,1,6306.24479999996
18,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,90.36145,17.10843,0,10464.2272
19,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,26.74699,50,1,6397.07600000012
20,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,63.49398,65.66265,0,5593.84159999993
21,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,98.79518,73.49398,0,7518.61520000006
22,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,98.79518,76.98795,0,7464.47679999995
23,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,0,7.10843,0,5402.23920000013
24,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,42.16867,43.73494,0,6407.60719999997
25,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,0,9.51807,1,6996.1375999999
26,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,92.16867,25.54217,0,7121.85839999997
27,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,90.48193,68.91566,0,6079.67440000025
28,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,86.62651,0,0,8890.22560000007
29,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,10.24096,0,4616.39039999986
30,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,49.03614,50,1,7090.66800000018
31,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,97.71084,84.93976,0,6775.53040000011
32,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,96.86747,93.9759,0,3809.3848
33,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,100,88.79518,0,6600.7840000001
34,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,85.78313,28.79518,0,4629.37840000005
35,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,94.57831,35.3012,0,6839.36240000045
36,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,84.57831,68.79518,0,8001.73440000019
