Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,20.36145,11.68675,1
2,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,15.78313,18.31325,1
3,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,32.28916,23.73494,0
4,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,50.0,50.0,1
5,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,50.0,50.0,1
6,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,99.51807,94.6988,0
7,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,50.0,50.0,1
8,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,91.08434,87.3494,0
9,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,98.55422,98.43373,0
10,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,96.86747,95.06024,0
11,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,82.53012,28.07229,0
12,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,63.73494,41.20482,0
13,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,94.45783,87.46988,1
14,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,63.25301,56.62651,0
15,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,50.0,50.0,1
16,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,94.93976,78.6747,0
17,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,96.14458,97.3494,0
18,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,100.0,100.0,0
19,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,50.0,50.0,1
20,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,50.0,50.0,1
21,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,50.0,50.0,1
