"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,51.20482,50.96386,1,9115.80399999997
2,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,73.25301,30.60241,0,5425.21519999999
3,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,78.91566,58.91566,0,7966.91919999996
4,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,0,0,5607.63519999993
5,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,0,13.85542,0,8071.35199999998
6,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,30.84337,30.72289,0,5758.37759999986
7,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,84.6988,65.18072,0,10024.816
8,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,86.98795,60.96386,0,6391.69199999995
9,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,73.01205,72.53012,0,5624.97839999985
10,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,69.75904,50,0,6948.51549999998
11,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,76.74699,68.55422,1,9383.5333000001
12,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,100,22.16867,0,5917.20909999992
13,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,68.19277,36.14458,1,5216.7392000001
14,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,81.44578,67.95181,0,4333.49760000015
15,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,86.86747,34.57831,0,9668.57520000017
16,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,27.83133,29.03614,1,7008.91120000006
17,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,27.10843,1,4991.84800000006
18,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,65.06024,31.56627,0,11342.1298999997
19,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,10.72289,13.49398,0,6109.34320000023
20,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,100,100,0,5925.19040000008
21,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,75.06024,50,1,7149.72109999985
22,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,71.56627,33.49398,1,8075.11199999991
23,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,19.87952,10.48193,0,4633.37279999995
24,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,84.21687,32.40964,0,7683.39650000015
25,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,74.93976,27.83133,1,5483.48320000007
26,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,74.33735,27.10843,1,11432.6952
27,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,70,60.60241,1,7959.02960000012
28,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,84.57831,59.87952,0,4925.0768000001
29,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,79.03614,30.84337,0,8083.5367999996
30,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,100,0,4494.65920000005
31,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,73.37349,31.20482,0,6308.52240000002
32,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,36.98795,36.14458,0,23013.4888000002
33,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,81.08434,50,0,4480.96910000005
34,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,100,78.79518,0,3933.42560000008
35,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,72.28916,50,1,12807.0295999999
36,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,78.79518,66.74699,0,4641.78320000024
37,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,7.22892,50,0,4358.88799999997
38,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,100,0,3308.56429999997
39,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,64.09639,43.01205,1,6283.54019999987
40,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,0,0,0,3843.0247999999
41,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,73.01205,17.22892,1,14348.7056000007
42,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,100,85.3012,0,12109.5279999997
43,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,83.01205,69.51807,1,4916.72879999981
44,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,29.63855,31.44578,0,9515.98159999924
45,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,65.90361,36.38554,0,5074.90400000033
46,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,99.27711,29.15663,0,5575.2296000002
47,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,100,100,0,11765.9879999998
48,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,92.16867,75.42169,0,4516.79200000025
49,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,81.80723,35.42169,0,7182.33839999943
50,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,100,61.56627,0,4350.10639999982
51,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,86.14458,17.10843,0,7300.32880000013
52,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,79.39759,21.68675,0,7616.90480000013
53,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,11.68675,13.61446,0,10092.2029000002
54,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,50,25.06024,1,7820.90240000014
55,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,80.12048,50,0,3391.64700000046
56,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,55.90361,30.36145,1,4532.46079999977
57,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,25.66265,17.46988,1,3934.78799999983
58,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,80.96386,19.87952,0,2941.68320000009
59,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,63.85542,0.36145,0,2407.68719999958
60,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,89.27711,64.21687,1,6750.00190000026
61,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,100,100,0,4450.15600000008
62,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,35.66265,43.61446,1,7412.77039999923
63,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,64.6988,63.37349,1,10517.5783999998
64,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,65.42169,58.19277,0,6791.61920000007
65,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,86.14458,75.42169,0,3240.49840000027
