Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,82.28916,20.48193,0
2,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,37.59036,41.20482,0
3,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,0.0,20.84337,1
4,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,16.14458,26.26506,1
5,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,7.3494,1.3253,0
6,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,77.59036,30.48193,0
7,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,6.50602,12.40964,0
8,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,99.87952,76.62651,0
9,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,94.45783,92.28916,0
10,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,2.28916,0.0,0
11,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,17.71084,17.71084,0
12,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,25.66265,28.79518,0
13,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,78.91566,76.0241,0
14,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,87.46988,71.80723,0
15,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,14.6988,27.46988,0
16,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,12.6506,16.14458,0
17,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,100.0,100.0,0
18,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,19.27711,30.96386,1
19,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,88.55422,85.3012,0
20,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,61.68675,38.07229,0
21,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,25.18072,25.90361,0
22,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,100.0,35.18072,0
23,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,90.96386,78.31325,0
24,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,100.0,82.77108,0
25,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,100.0,41.68675,0
26,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,74.45783,34.81928,0
27,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,100.0,86.86747,0
28,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,25.06024,29.03614,0
29,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,99.51807,98.55422,0
30,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,11.08434,23.9759,0
31,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,88.43373,72.53012,0
32,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,87.46988,75.66265,0
33,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,0.48193,8.91566,0
34,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,24.57831,28.31325,0
35,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,13.9759,19.87952,0
