"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,29.87952,48.6747,0,8888.6728000001
2,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,40.96386,44.57831,0,7644.84560000007
3,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,4.09639,9.27711,0,6460.80640000005
4,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,44.09639,39.87952,1,7402.03440000002
5,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,42.28916,38.55422,1,4839.07899999997
6,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,85.54217,35.66265,1,6521.18259999999
7,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,43.9759,47.59036,1,6568.1198
8,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,53.13253,50,1,7105.847
9,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,31.92771,35.54217,1,6614.7736
10,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,9.87952,17.3494,1,4708.1924
11,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,68.6747,50.48193,0,4632.82340000002
12,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,60,33.49398,0,3684.43000000005
13,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,97.46988,95.06024,0,3645.6664000001
14,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,85.18072,37.59036,0,5829.27359999998
15,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,89.87952,74.57831,0,6460.53899999973
16,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,69.87952,63.73494,0,4517.17440000005
17,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,50,50,1,4311.93280000001
18,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,33.9759,40.96386,0,4129.80700000015
19,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,41.56627,43.01205,0,5159.01119999998
20,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,80.48193,26.50602,0,5649.53339999999
21,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,59.75904,44.57831,0,4021.48880000008
22,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,40.96386,1,5514.79959999997
23,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,33.25301,16.62651,1,4912.28579999995
24,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,59.87952,44.09639,0,4131.24799999996
25,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,61.80723,44.21687,0,9155.58540000001
26,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,24.33735,32.53012,1,5900.61120000007
27,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,75.3012,56.26506,0,4414.74859999996
28,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,55.3012,38.79518,1,4173.58259999999
29,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,59.39759,33.49398,0,5248.27499999988
30,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,55.66265,32.28916,0,2801.16080000019
31,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,57.3494,59.87952,1,7200.65679999994
32,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,54.09639,51.80723,0,5046.61660000007
33,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,8.55422,13.9759,0,3774.28199999983
34,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,92.77108,70.36145,0,3824.86060000007
35,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,80.12048,78.31325,0,4606.31360000017
36,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,53.13253,29.63855,0,5045.09439999989
37,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,55.78313,6.86747,0,3054.91439999972
38,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,97.95181,32.28916,0,5114.11360000004
39,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,73.9759,33.13253,0,5788.18299999961
40,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,50,28.43373,1,1881.25420000003
41,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,58.07229,58.31325,0,4235.59900000016
42,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,52.77108,31.92771,1,5456.35940000031
43,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,53.9759,50,1,6826.9541999998
44,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,53.37349,44.81928,0,4215.14139999979
45,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,50,45.90361,0,3671.72879999987
46,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,45.3012,44.81928,1,8058.45599999977
47,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,59.03614,32.16867,0,4685.45120000013
48,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,72.89157,42.04819,0,4000.94300000026
49,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,76.38554,68.43373,0,3762.57039999991
50,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,95.06024,94.57831,1,3114.75659999991
51,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,61.56627,63.37349,1,5329.49060000013
52,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,91.20482,74.33735,0,4479.40479999973
53,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,44.57831,41.92771,1,5816.90999999998
54,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,53.49398,60.84337,1,2860.72399999981
55,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,17.46988,21.80723,1,5163.32480000012
56,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,14.21687,28.55422,1,3579.21520000009
57,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,98.55422,90.84337,0,7624.09940000041
58,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,34.33735,1,5608.24079999986
59,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,90.24096,62.53012,1,3985.63479999994
60,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,37.22892,22.16867,1,6163.89460000041
61,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,85.18072,77.71084,1,4881.74819999991
62,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,59.15663,13.85542,1,5518.55819999968
63,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,34.33735,14.6988,1,4452.95219999988
64,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,43.73494,31.44578,1,3656.89699999994
65,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,96.38554,38.31325,0,5586.33699999971
66,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,71.3253,19.75904,1,7074.52120000007
67,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,39.15663,42.04819,1,8158.5247999999
68,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,80.96386,30.84337,1,3647.05199999979
69,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,45.42169,43.61446,0,2326.63180000021
70,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,57.71084,42.28916,0,2884.33220000018
71,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,7.83133,18.6747,1,5171.44919999957
72,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,53.61446,27.95181,0,3123.16079999972
73,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,96.0241,96.0241,0,2140.19959999959
74,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,45.78313,31.68675,1,4106.1879999995
75,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,72.89157,40.84337,0,4503.04119999951
76,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,17.59036,20.72289,1,6715.37919999915
77,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,65.66265,58.6747,1,3974.13459999987
78,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,44.09639,50,0,5224.0791999998
79,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,29.15663,34.57831,1,2961.22700000019
80,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,60.60241,41.20482,1,3508.61439999996
81,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,35.54217,36.50602,1,3837.48959999962
82,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,49.15663,50,1,3270.30000000028
83,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,82.89157,80.36145,0,2185.79680000001
84,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,56.98795,50.60241,0,2663.28800000029
85,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,93.73494,67.10843,0,4534.47359999968
86,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,58.55422,38.31325,1,3551.06560000021
87,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,44.21687,11.44578,1,2199.6721999998
88,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,40.24096,42.53012,0,4997.52879999962
89,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,100,35.42169,0,3163.09319999988
90,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,45.3012,46.50602,1,3343.30259999982
91,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,100,95.42169,0,4441.70299999986
92,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,84.33735,70.96386,1,3258.58480000007
93,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,69.51807,38.43373,0,4751.28299999994
