Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,63.13253,32.16867,0
2,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,33.49398,1
3,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,24.57831,41.92771,0
4,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,71.80723,50.0,1
5,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100.0,100.0,0
6,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,59.15663,18.6747,0
7,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,96.38554,93.73494,0
8,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,20.36145,29.27711,1
9,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,87.46988,71.20482,0
10,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,54.93976,40.48193,1
11,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,66.38554,36.50602,0
12,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,55.06024,46.14458,1
13,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,35.54217,41.80723,1
14,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,89.39759,22.89157,0
15,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,80.72289,35.3012,0
16,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,93.61446,31.56627,1
17,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,19.39759,30.0,1
18,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,0.0,96.86747,1
19,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,56.14458,47.71084,1
20,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,14.09639,64.33735,0
21,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,65.3012,31.44578,1
22,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,1.44578,33.13253,1
23,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,2.89157,89.39759,1
24,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,81.56627,65.3012,0
25,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,53.9759,32.28916,0
26,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,92.04819,34.81928,0
27,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,62.53012,23.73494,0
28,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,59.39759,61.08434,0
29,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,97.59036,89.39759,0
30,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,16.0241,83.37349,1
31,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,2.16867,84.45783,1
32,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,97.22892,93.9759,0
33,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,65.3012,36.26506,0
34,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,37.71084,33.85542,1
35,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,89.87952,65.54217,0
36,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,63.01205,39.75904,0
37,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,90.36145,9.03614,0
38,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,93.37349,36.86747,0
39,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,94.09639,31.92771,0
40,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,63.13253,42.89157,1
41,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,85.54217,71.56627,0
42,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,62.77108,39.75904,0
43,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,100.0,100.0,0
44,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,39.51807,37.10843,0
45,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,70.60241,30.0,0
46,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,10.96386,43.61446,1
47,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,0.0,86.0241,0
48,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,73.61446,32.77108,0
49,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,25.78313,68.79518,1
50,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,85.66265,83.13253,1
51,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,0.0,100.0,1
52,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,37.59036,46.98795,1
53,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,15.18072,58.31325,1
54,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,74.33735,27.3494,0
55,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,100.0,44.45783,0
56,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,24.57831,31.56627,1
57,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,57.83133,40.72289,0
58,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,86.74699,27.71084,0
59,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,78.07229,89.75904,0
60,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,61.80723,39.39759,0
61,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,32.77108,66.0241,0
62,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,67.95181,92.28916,0
63,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,44.45783,27.83133,0
64,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,55.42169,8.55422,0
65,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,3.49398,24.57831,1
66,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,41.44578,31.68675,0
