Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,29.87952,48.6747,0
2,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,40.96386,44.57831,0
3,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,4.09639,9.27711,0
4,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,44.09639,39.87952,1
5,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,42.28916,38.55422,1
6,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,85.54217,35.66265,1
7,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,43.9759,47.59036,1
8,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,53.13253,50.0,1
9,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,31.92771,35.54217,1
10,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,9.87952,17.3494,1
11,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,68.6747,50.48193,0
12,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,60.0,33.49398,0
13,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,97.46988,95.06024,0
14,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,85.18072,37.59036,0
15,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,89.87952,74.57831,0
16,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,69.87952,63.73494,0
17,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,50.0,50.0,1
18,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,33.9759,40.96386,0
19,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,41.56627,43.01205,0
20,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,80.48193,26.50602,0
21,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,59.75904,44.57831,0
