Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,0.0,40.36145,1
2,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,20.36145,1
3,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,19.63855,50.24096,1
4,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,100.0,67.59036,0
5,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,72.28916,32.16867,0
6,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,83.9759,79.03614,0
7,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,68.91566,57.46988,0
8,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,25.42169,50.0,1
9,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,81.3253,72.40964,0
10,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,41.80723,57.83133,0
11,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,88.31325,75.66265,0
12,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,26.14458,31.08434,1
13,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,16.98795,44.21687,1
14,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,80.96386,26.74699,0
15,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,54.21687,34.45783,0
16,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,63.01205,31.08434,0
17,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,75.42169,76.50602,0
18,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,0.0,54.81928,0
19,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,91.20482,21.56627,0
20,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,2.53012,33.37349,0
21,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,90.84337,69.75904,0
22,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,17.46988,29.15663,1
23,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,8.43373,45.66265,1
24,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,56.50602,55.66265,0
25,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,50.0,55.18072,0
26,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,100.0,78.43373,0
27,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,20.48193,13.9759,0
28,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,11.44578,37.22892,0
29,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,58.79518,45.42169,1
30,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,19.03614,41.3253,1
31,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,47.22892,47.71084,1
32,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,99.03614,82.28916,0
