"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,73.25301,26.14458,0,15111.0958000001
2,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,81.08434,72.40964,0,12903.7568
3,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,74.6988,38.91566,0,13227.6192
4,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,74.45783,28.31325,0,12560.5368000001
5,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,35.18072,33.25301,0,6321.60560000005
6,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,50,50,0,7306.77760000003
7,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,24.33735,24.6988,0,13027.6328000002
8,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,72.40964,35.3012,0,7134.39550000016
9,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,78.55422,76.98795,0,4590.83249999987
10,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,74.33735,24.09639,0,13181.4368000001
11,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,30.36145,30,0,8039.09729999994
12,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,50,50,0,6428.37119999996
13,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,50,0,3392.66589999994
14,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,13.37349,13.73494,1,9361.10239999986
15,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,69.39759,63.13253,0,10423.1464
16,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,75.18072,43.61446,0,7602.57710000008
17,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,69.51807,27.95181,1,9571.01169999986
18,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,3.85542,1.80723,0,12336.8947
19,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,9.15663,18.79518,0,7277.43249999988
20,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,100,79.03614,0,10502.6875000001
21,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,89.63855,87.83133,0,3285.27119999996
22,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,75.18072,26.38554,0,8797.85569999967
23,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,50,50,0,4602.37949999992
24,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,57.3494,43.73494,0,10280.8288000003
25,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,80.24096,68.31325,0,4840.9246000002
26,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,69.03614,39.27711,0,3891.09519999957
