Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,28.79518,36.14458,1
2,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,32.77108,31.68675,1
3,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,71.3253,62.6506,0
4,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,36.26506,34.21687,0
5,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,100.0,69.15663,0
6,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,37.83133,19.39759,1
7,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,23.73494,39.75904,0
8,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,32.04819,65.66265,0
9,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,100.0,14.6988,0
10,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,26.98795,13.9759,1
11,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,49.87952,23.85542,0
12,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,70.48193,67.3494,0
13,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,17.83133,6.98795,1
14,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,0.0,0.0,0
15,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,39.15663,4.09639,0
16,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,65.54217,65.3012,0
17,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,0.0,0.0,0
18,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,57.71084,42.16867,0
19,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,79.27711,30.12048,0
20,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,92.89157,69.51807,0
21,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,36.0241,20.0,0
22,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,69.15663,67.3494,1
23,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,72.16867,0
24,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,50.0,18.79518,1
25,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,60.24096,25.54217,1
26,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,77.22892,20.48193,0
27,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,72.6506,32.77108,0
28,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,65.90361,33.25301,0
29,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,34.45783,38.43373,0
30,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,100.0,75.06024,0
31,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,76.14458,27.3494,0
32,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,57.3494,14.33735,0
33,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,100.0,23.01205,0
34,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,93.49398,8.31325,0
35,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,18.55422,15.90361,1
36,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,69.27711,69.03614,0
37,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,40.96386,61.3253,0
38,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,87.71084,49.27711,1
39,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,0.0,0.0,1
40,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,83.25301,43.13253,0
41,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,43.9759,40.72289,0
42,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,21.08434,0.0,0
43,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,64.57831,35.78313,0
44,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,96.0241,74.81928,0
45,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,87.95181,81.56627,0
46,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,65.54217,0.0,0
47,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,41.80723,17.83133,0
48,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,76.98795,3.01205,0
49,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,35.06024,35.54217,0
50,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,73.85542,73.25301,0
51,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,86.14458,74.81928,0
52,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,80.36145,92.04819,0
53,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,19.51807,18.79518,1
54,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,72.28916,65.06024,0
55,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,81.44578,20.12048,1
56,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,49.39759,25.42169,0
57,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,71.44578,65.66265,0
58,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,50.0,11.3253,0
59,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,45.90361,30.60241,0
60,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,50.0,1
61,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,73.37349,36.98795,0
62,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,44.81928,69.75904,0
63,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,27.59036,35.54217,1
64,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,29.51807,32.16867,1
65,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,34.81928,33.9759,1
66,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,56.74699,40.24096,0
67,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,66.62651,73.9759,0
68,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,20.0,0.0,0
69,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,8.91566,11.44578,1
70,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,73.9759,33.73494,0
71,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,34.57831,42.16867,0
72,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,21.92771,0.0,1
73,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,20.24096,8.91566,1
74,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,23.01205,0.0,0
75,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,100.0,0.0,0
76,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,71.80723,40.96386,0
77,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,74.6988,39.63855,0
78,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,36.38554,43.85542,0
79,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,72.53012,64.93976,0
80,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,36.62651,24.09639,0
81,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,37.10843,10.24096,0
82,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,24.09639,0.0,0
83,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,33.49398,27.10843,0
84,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,55.90361,0.0,1
85,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,77.59036,14.09639,1
86,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,30.24096,27.71084,1
87,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,100.0,61.68675,1
88,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,38.43373,5.42169,0
89,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,65.3012,33.37349,0
90,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,100.0,77.22892,0
91,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,84.93976,66.62651,0
92,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,0.0,0.0,1
93,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,0.0,0
94,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,88.43373,0.0,0
95,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,27.95181,6.38554,0
