"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,79.39759,79.87952,0,7983.54400000007
2,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,72.89157,68.79518,0,12460.6672
3,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,50,50,0,7582.56879999998
4,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,80.48193,66.74699,0,6332.58560000003
5,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,34.21687,34.57831,0,6441.95600000008
6,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,50,50,0,6747.65600000012
7,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,50,50,0,10002.8432000001
8,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,70.24096,72.28916,0,7825.37599999993
9,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,50,50,0,8052.25680000006
10,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,50,50,0,4391.42720000001
11,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,77.3494,75.90361,0,8890.86479999966
12,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,66.26506,71.20482,0,7216.73040000012
13,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,50,50,0,4758.41199999992
14,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,38.07229,37.46988,0,11566.7031000002
15,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,50,0,5986.85290000003
16,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,60.96386,50,0,5874.59919999994
17,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,93.01205,88.91566,0,3700.05120000007
18,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,50.24096,50,0,3841.88309999998
19,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,74.09639,66.38554,0,5699.85359999997
20,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,36.50602,32.28916,0,6016.70480000006
21,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,82.6506,50,0,3940.75830000011
22,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,50,50,0,8734.54650000035
23,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,69.75904,50,0,11234.0191999999
24,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,78.07229,73.49398,0,10667.1743000001
