Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,56.38554,55.42169,0
2,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,50.0,84.6988,0
3,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,74.6988,66.26506,0
4,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,76.50602,72.89157,0
5,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,92.16867,9.51807,0
6,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,86.62651,24.57831,0
7,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,50.0,50.0,0
8,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,50.0,50.0,0
9,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,86.62651,50.0,0
10,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,69.63855,50.0,0
11,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,54.21687,50.0,0
12,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,68.07229,50.0,0
13,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,91.44578,29.39759,0
14,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,68.6747,72.77108,0
15,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,63.13253,50.0,0
16,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,50.0,50.0,0
17,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,76.86747,50.0,0
18,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,50.0,50.0,0
19,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,37.95181,50.0,0
20,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,57.59036,50.0,0
21,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,73.73494,50.0,0
22,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,69.39759,50.0,0
23,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,50.0,50.0,0
24,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,63.13253,50.0,0
25,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,50.0,37.83133,0
26,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,83.01205,50.0,0
27,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,50.0,42.04819,0
28,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,73.73494,50.0,0
29,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,97.95181,50.0,0
30,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,40.36145,50.0,0
31,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,50.0,50.0,0
32,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,79.63855,50.0,0
33,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,84.33735,49.39759,0
34,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,73.37349,50.0,0
35,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,27.83133,50.0,0
36,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,90.72289,50.0,0
37,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,73.9759,50.0,0
38,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,38.43373,50.0,0
39,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,73.49398,70.12048,0
40,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,50.0,50.0,0
41,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,77.59036,50.0,0
42,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,50.0,50.0,0
43,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,50.0,50.0,0
44,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,63.49398,50.0,0
45,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,33.13253,50.0,0
46,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,6.0241,50.0,0
47,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,35.54217,50.0,0
48,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,27.95181,50.0,0
49,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,76.74699,50.0,0
50,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,71.08434,50.0,0
