"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,33.13253,28.79518,0,14205.4944
2,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,7.71084,22.16867,1,8635.09360000007
3,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,36.26506,54.21687,0,10097.3552
4,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,22.77108,42.89157,0,7279.67840000003
5,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,18.19277,34.57831,0,4106.98159999998
6,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,73.25301,58.55422,0,5884.98320000004
7,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,61.08434,35.3012,0,7379.4712
8,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,60.24096,56.98795,0,5305.76480000015
9,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,54.09639,10.60241,1,17322.2264000001
10,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,74.57831,43.61446,0,9727.67359999987
11,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,58.55422,55.90361,0,7077.00879999998
12,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,82.40964,67.3494,0,5595.94559999995
13,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0.96386,2.28916,0,3192.39200000002
14,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,57.22892,14.09639,0,2516.10479999992
15,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,58.6747,55.66265,1,9953.27519999994
16,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,90.24096,85.54217,0,11421.752
