"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,4.6988,53.49398,0,11250.7336
2,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,31.44578,49.51807,1,8475.80159999999
3,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,95.90361,58.79518,0,10133.6116000001
4,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,98.31325,44.93976,0,7108.12200000002
5,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,65.06024,50.36145,0,11534.0044
6,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,100,24.81928,0,8024.64359999998
7,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,25.18072,40.96386,0,10510.0892
8,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,56.74699,46.38554,0,9985.01200000002
9,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,50,50,1,10965.0639999999
10,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,38.55422,39.75904,0,11097.0284000001
11,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,50,50,1,9251.86280000015
12,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,50,50,1,10065.8287999999
13,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,86.0241,0,0,7841.65160000007
14,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,54.45783,50,0,14459.0516
15,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,8.55422,24.57831,0,5831.6832000002
16,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,56.98795,44.81928,1,9551.06800000003
17,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,80.72289,50,0,5374.95479999998
18,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,100,44.93976,0,10125.8664000001
19,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,33.61446,45.66265,1,6458.49599999993
20,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,21.80723,30.36145,1,5441.19720000005
21,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,5.66265,5.90361,0,7191.82479999994
22,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,71.92771,60,0,6859.87319999998
23,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,53.9759,46.74699,0,9199.61479999981
24,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,39.39759,36.50602,1,10303.5624000001
25,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,57.83133,52.89157,0,7072.76479999977
26,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,0,0,6275.0964000001
27,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,46.62651,46.98795,1,6166.88159999974
28,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,89.03614,44.21687,0,6742.08320000011
29,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,89.51807,69.39759,0,4901.03080000001
30,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,36.86747,46.86747,0,7808.50799999991
31,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,41.68675,46.14458,0,5675.14960000012
32,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,40.96386,46.62651,1,4900.41959999997
33,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,63.49398,0,8267.73600000009
34,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,46.14458,50,1,11133.8304000006
35,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,56.14458,51.92771,0,4840.64879999997
36,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,38.31325,50,1,4533.53759999987
37,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,63.25301,0,4209.31919999997
38,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,63.73494,46.98795,0,4908.10520000017
39,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,57.83133,45.90361,0,5708.16279999999
40,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,51.80723,47.95181,0,7259.63480000006
41,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,100,79.27711,0,3916.46319999977
42,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,0,2.53012,1,3983.5031999998
43,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,100,71.08434,0,10692.8983999998
44,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,20.60241,39.51807,0,5232.11200000031
45,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,62.04819,50,1,6018.63039999996
