"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,85.66265,77.59036,0,13807.5895999999
2,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,12.28916,21.56627,1,15451
3,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,75.18072,54.21687,0,6599.68160000004
4,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,82.77108,39.39759,0,7025.09839999993
5,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,39.15663,1,7568.19120000001
6,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,61.56627,41.3253,0,7588.0069000001
7,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,76.38554,50,0,4816.9328000001
8,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,100,39.75904,0,3624.99839999998
9,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,73.01205,50,1,5017.06129999991
10,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,65.18072,56.0241,0,3725.16800000012
11,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,55.42169,50,1,9676.62159999993
12,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,5.54217,19.03614,0,7832.05360000005
13,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,57.22892,23.49398,0,5316.73679999996
14,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,82.6506,50,0,6925.19679999994
15,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,29.15663,40.36145,0,9100.48799999969
16,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,70,50,0,5832.41550000003
17,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,0,9.03614,0,2866.59280000007
18,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,59.63855,50,0,19327.7138999996
19,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,16.0241,42.89157,0,3483.37309999991
20,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,19.87952,42.77108,1,3541.72930000012
21,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,40,50,1,4833.30430000025
22,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,30.24096,39.75904,0,4470.13729999989
23,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,82.28916,64.81928,0,4825.59259999986
24,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,21.08434,36.86747,1,4041.82429999998
25,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,36.98795,50,1,4124.1975999999
26,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,58.79518,22.40964,0,3099.9891000003
27,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,61.3253,45.78313,0,6067.23920000007
28,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,66.14458,43.13253,0,6508.47120000015
29,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,99.15663,0,0,2349.8872
30,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,23.13253,45.06024,1,7008.86239999993
31,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,56.98795,40.12048,0,2633.39650000009
32,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,41.08434,50,1,3291.58830000006
33,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,68.43373,63.49398,0,3616.78480000008
34,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,24.57831,2.6506,1,10384.5918000001
35,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,65.90361,50,0,4266.92400000017
36,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,43.49398,50,1,12887.4048
37,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,55.66265,23.25301,0,8175.26799999975
38,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,72.89157,41.08434,0,5875.9472
39,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,64.6988,45.3012,1,8758.6307000001
40,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,75.06024,42.04819,0,7390.22559999972
41,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,77.83133,61.20482,0,2866.48269999982
42,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,0,0,0,5564.35390000022
43,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,82.16867,53.37349,0,9929.32769999991
44,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,24.81928,53.73494,0,3149.11630000017
45,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,80.48193,50,0,4883.58400000009
46,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,63.61446,30.60241,0,5559.01600000012
47,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,78.07229,42.04819,0,15691.9859
48,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,80.84337,74.09639,0,10235.7593000003
49,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,77.95181,40.84337,0,2108.42399999988
50,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,88.55422,55.06024,0,2433.47630000021
51,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,73.49398,58.6747,0,5516.69630000019
52,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,68.6747,33.37349,0,4016.46050000004
53,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,41.08434,1,9059.59340000024
54,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,22.40964,36.62651,0,16838.3799999985
55,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,94.93976,62.16867,0,6542.1316999991
56,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,29.03614,37.22892,0,4558.65119999961
57,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,69.87952,39.63855,0,3833.3283000004
58,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,35.06024,36.74699,1,8043.11330000009
59,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,15.3012,25.78313,0,2501.26640000008
60,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,0,7.22892,0,7308.41470000031
61,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,66.98795,50,1,7623.94050000026
62,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,3.61446,28.55422,1,7596.14130000072
63,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,56.38554,15.66265,0,4983.52000000014
64,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,0,10.72289,0,5296.99149999989
65,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,38.07229,29.15663,0,5558.50319999946
66,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,0.72289,1,9293.14410000039
67,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,11.44578,19.03614,0,3266.65650000027
68,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,31.68675,46.74699,0,3008.4543999997
69,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,7.46988,11.80723,0,3567.77310000011
70,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,59.27711,45.42169,0,4866.87600000017
71,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,40,50,0,3497.94160000025
72,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,60.12048,41.92771,0,2925.18349999969
73,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,76.14458,64.09639,0,2175.45120000001
74,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,40.36145,1,4891.7919999999
75,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,95.90361,85.54217,0,4467.08029999968
76,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,46.74699,50,1,6610.62190000003
77,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,54.45783,50,0,8116.56589999935
78,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,25.06024,1,14429.0058999999
79,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,74.93976,69.39759,1,5305.17279999959
80,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,74.21687,41.20482,0,1383.17019999993
81,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,13.37349,40.96386,0,2915.40130000003
82,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,81.68675,38.6747,0,2350.05599999998
83,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,60.96386,50,0,4300.34110000031
84,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,62.16867,50,0,6559.3371
85,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,77.10843,40.48193,0,7573.83789999911
86,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,57.22892,50,0,12134.3330999997
87,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,33.73494,50,1,2367.2667000005
88,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,76.38554,57.10843,0,2933.26159999997
89,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,93.49398,38.55422,0,3516.65839999984
90,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,72.16867,50,0,4975.99549999985
91,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,24.45783,29.15663,1,8822.40270000033
92,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,39.87952,36.98795,0,2500.16959999991
93,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,99.87952,21.56627,0,2741.82159999956
94,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,35.42169,50,0,4925.34779999999
95,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,29.27711,5.3012,0,3106.23279999976
96,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,58.43373,50,0,4256.77499999979
97,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,91.08434,69.27711,0,5800.10829999996
98,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,55.90361,33.9759,0,5502.02849999978
99,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,14.57831,30.48193,0,7958.39500000002
100,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,73.49398,43.01205,0,3399.53170000029
