"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,94.93976,16.26506,0,11639.7407999999
2,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,43.85542,0,13432.72
3,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,50,50,1,10778.812
4,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,75.90361,50.60241,0,9843.42239999995
5,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,30.96386,50,1,10001.3936
6,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,59.87952,50,0,10932.1207999999
7,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,50,50,1,18153.7448
8,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,65.78313,50,0,7299.89839999992
9,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,35.78313,44.6988,0,12081.4944000003
10,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,53.85542,45.54217,0,9100.55679999999
11,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,59.63855,44.57831,0,7633.49920000011
12,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,50,50,1,9416.47440000009
13,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,78.31325,62.77108,0,12859.3135999999
14,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,53.9759,50,0,13133.2055999999
15,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,54.57831,45.78313,0,8312.63839999988
16,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,56.38554,47.46988,1,15238.5816000001
17,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,32.04819,0,7675.60240000027
18,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,67.59036,63.01205,0,15642.4424
19,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,20.84337,50,1,8650.92320000037
20,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,79.03614,33.73494,0,12383.5800000003
21,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,30.24096,50,1,10750.5279999999
22,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,68.43373,57.3494,1,19811.6472
