"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,100,90,0,12186.7877000001
2,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,19.63855,21.20482,0,15919.6835
3,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,89.51807,64.93976,0,33140.1370999999
4,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,50,50,0,12008.2512
5,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,57.59036,59.51807,1,19143.28
6,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,50,50,1,13680.3746999999
7,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,10.24096,10.96386,0,1897.00319999974
8,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,16.98795,17.46988,1,1803.33199999976
9,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,50,50,1,9111.15040000004
10,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,92.40964,91.68675,0,14089.1509
11,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,37.95181,40.60241,0,15451.3778999995
12,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,11.20482,13.13253,1,7401.22589999973
13,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,26.50602,26.98795,1,7664.18240000034
14,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,50,50,1,21526.9053000001
15,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,64.21687,63.73494,1,14104.5974000003
16,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,28.19277,27.83133,1,10225.807500001
17,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,0,0,1,5083.21419999958
18,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,68.31325,65.54217,0,8611.21249999956
19,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,75.3012,76.14458,0,13277.2618999998
20,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,50,0,6647.12319999968
21,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,0,0,0,6364.98989999946
22,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,72.28916,72.53012,0,16435.9823999995
23,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,60.60241,63.25301,0,5180.24429999955
24,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,50,50,1,27045.1983999995
25,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,0,0,1,22651.3479999999
26,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,57.59036,58.43373,1,15661.181300001
27,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,50,50,1,14925.2848000003
28,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,68.19277,69.39759,0,12036.4816000003
29,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,50,50,1,18142.8260999995
30,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,100,100,0,11097.2077999997
31,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,59.51807,62.77108,0,5183.12080000062
32,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,13.73494,18.07229,0,19104.8812999999
33,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,81.92771,83.49398,1,11733.3362999992
34,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,62.77108,63.37349,0,13458.5807999995
35,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,75.06024,73.01205,0,15808.4754999996
