"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,1.68675,0,0,13076.0679999999
2,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,0,28.43373,0,19135.9664
3,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,50,50,0,12537.9104000001
4,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,35.54217,37.46988,0,17658.2184
5,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,42.53012,39.51807,1,12338.5352000001
6,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,81.92771,80.72289,0,11440.6495999999
7,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,50,50,1,13833.4600000001
8,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,50,50,1,10815.8264000001
9,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,35.90361,32.77108,1,7866.70720000004
10,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,68.79518,70.12048,0,9459.98720000006
11,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,64.45783,65.06024,0,8295.5368
12,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,64.33735,64.33735,0,9074.86239999981
13,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,50,50,1,8162.96479999987
14,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,50,50,1,8258.59359999997
15,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,29.63855,31.08434,1,9191.39199999988
16,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,77.83133,78.91566,0,8463.06320000012
17,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,70,67.10843,0,5058.6288
18,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,50,50,0,6448.91439999984
19,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,50,50,1,8667.26639999979
20,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,36.38554,39.27711,0,6350.57520000008
21,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,50,50,0,7783.4399999996
22,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,62.28916,64.33735,0,7598.74159999989
23,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,36.86747,40.96386,0,7535.23999999999
24,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,95.78313,95.90361,0,7016.88560000004
25,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,21.56627,24.09639,0,4559.4831999999
26,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,60.24096,61.20482,0,6391.19920000055
27,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,12.53012,21.20482,0,4342.47439999989
28,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,50,50,0,7016.86560000014
29,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,19.15663,18.43373,0,9747.35040000017
