"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,5.42169,40,0,3054.64399999999
2,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,30.72289,50,0,1025.21519999998
3,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,76.50602,50,0,2373.83439999996
4,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,67.22892,50,0,1467.23199999999
5,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,80.12048,19.27711,0,2958.4184
6,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,58.31325,32.16867,0,4157.27200000006
7,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,59.63855,20,1,2284.44959999994
8,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,5.3012,50,0,1750.07999999996
9,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,62.77108,50,0,3957.12959999996
10,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,85.54217,39.15663,0,4266.80560000005
11,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,27.46988,62.77108,1,2891.69119999997
12,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,97.22892,50,0,2616.80000000002
13,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,62.40964,27.46988,0,2033.16399999999
14,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,95.42169,20,0,2041.66640000005
15,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,74.93976,14.6988,0,1899.9136
16,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,60.12048,32.40964,0,2691.88320000001
17,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,50,2.28916,0,1157.75039999993
18,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,23.85542,50,0,4316.67679999987
19,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,50,50,0,2150.47200000004
20,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,84.6988,50,0,1883.44560000001
21,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,55.18072,50,0,1299.67760000005
22,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,79.15663,69.51807,0,2718.77600000007
23,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,65.3012,36.50602,0,2324.80879999982
24,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,73.85542,27.10843,0,2741.48079999996
25,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,68.19277,77.22892,1,4714.69600000011
26,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,62.6506,50,0,2133.31040000002
27,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,50,50,1,508.673599999922
28,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,37.83133,50,1,1824.5
29,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,80.48193,36.0241,0,2391.88640000008
30,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,70.36145,50,0,4450.09840000002
31,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,50,9.51807,0,4509.02560000011
32,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,72.89157,34.45783,0,2617.23919999989
33,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,66.62651,13.37349,0,3400.64159999992
34,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,73.49398,23.37349,0,2608.42400000012
35,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,50,50,1,2791.67839999974
36,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,81.44578,15.18072,0,1433.3655999999
37,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,88.43373,50,0,3401.17519999982
38,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,58.31325,50,0,1625.0792000001
