Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,89.87952,50.0,0
2,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,86.14458,50.0,0
3,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,25.3012,38.07229,1
4,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,65.66265,39.15663,0
5,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,63.25301,44.45783,0
6,222,Should the use of plastic be avoided?,"Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,60.72289,41.68675,0
7,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,69.63855,45.06024,0
8,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,5.42169,20.60241,1
9,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,67.22892,55.18072,0
10,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,6.74699,30.36145,1
11,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,64.21687,41.68675,1
12,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,19.63855,50.0,0
13,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,68.43373,15.54217,0
14,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,58.79518,50.0,0
15,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,57.10843,52.89157,0
16,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,62.16867,40.96386,1
17,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,58.91566,50.0,0
18,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,64.09639,50.0,0
19,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,67.83133,61.44578,0
20,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,79.63855,50.0,0
21,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,18.79518,23.01205,1
22,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,63.85542,45.3012,0
23,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,61.56627,55.18072,0
24,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,40.48193,47.46988,0
25,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,62.89157,43.9759,0
26,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,56.50602,50.0,0
27,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,54.93976,46.14458,0
28,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,58.79518,46.26506,0
29,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,40.60241,33.9759,1
30,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,57.22892,53.9759,0
31,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,16.0241,43.73494,0
32,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,74.09639,55.90361,0
33,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,75.90361,34.45783,1
34,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,43.49398,49.87952,0
35,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,41.20482,36.38554,0
36,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,17.46988,26.50602,1
37,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,68.55422,44.45783,0
38,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,69.27711,53.37349,0
39,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,68.6747,53.37349,0
40,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,89.27711,27.10843,0
41,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,63.73494,50.0,0
42,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,24.33735,45.78313,0
43,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,71.44578,41.44578,0
44,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,37.46988,42.77108,1
45,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,63.73494,53.49398,0
46,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,57.46988,42.40964,0
47,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,25.06024,32.28916,1
48,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,68.79518,50.0,0
49,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,69.63855,48.55422,0
50,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,58.07229,52.28916,0
51,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,60.72289,50.0,0
52,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,65.78313,44.45783,0
53,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,89.51807,50.0,0
54,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,62.89157,41.20482,0
55,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,60.48193,50.0,0
56,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,63.37349,46.0241,0
57,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,63.9759,50.0,0
58,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,60.12048,54.6988,0
59,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,40.84337,41.56627,0
60,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,32.40964,45.66265,0
61,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,68.31325,55.3012,0
62,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,43.13253,43.13253,1
63,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,62.89157,45.90361,0
64,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,58.79518,52.40964,0
65,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,67.95181,41.3253,0
66,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,9.39759,37.95181,1
67,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,84.93976,17.95181,0
68,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,56.50602,50.0,0
69,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,80.12048,54.33735,0
70,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,69.03614,53.37349,0
71,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,57.71084,50.0,0
72,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,81.3253,22.04819,0
73,203,Should the sale of genetically modified food be banned?,A universal ban is not the right approach to addressing any potential problems with genetically modified foods,17,79.63855,52.77108,0
74,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,62.28916,50.0,0
75,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,89.39759,30.24096,0
76,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,51.92771,41.92771,0
77,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,38.79518,44.45783,1
78,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,62.04819,53.25301,0
79,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,61.44578,34.45783,0
80,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,66.50602,50.0,0
81,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,10.60241,24.21687,1
82,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,0.0,26.62651,0
83,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,56.86747,53.73494,0
84,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,76.86747,33.73494,0
85,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,36.74699,50.0,0
86,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,29.27711,41.92771,0
87,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,39.75904,46.0241,0
88,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,18.43373,33.9759,1
89,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,73.25301,56.14458,0
90,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,14.93976,39.51807,0
91,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,62.6506,50.0,0
92,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,58.31325,44.33735,0
93,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,62.89157,50.0,0
94,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,55.3012,50.0,1
95,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,24.21687,44.21687,0
96,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,70.84337,36.86747,0
97,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,66.98795,54.21687,0
98,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,62.53012,40.84337,1
99,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,59.87952,52.16867,0
100,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,6.14458,39.75904,0
