"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,73.9759,50,0,13840.6264000002
2,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,21.92771,24.09639,1,16650.8752
3,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,31.80723,50,1,18332.5407999999
4,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,85.78313,72.53012,0,15923.6311999999
5,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,50,19.15663,0,6749.56399999998
6,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,81.56627,50,1,10484.3543999998
7,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,62.89157,5.78313,1,18394.4431999999
8,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,91.20482,20.48193,0,10607.9487999998
9,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,85.42169,86.62651,0,13699.288
10,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,83.25301,77.59036,0,8694.58000000001
11,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,72.28916,50,0,8480.57439999981
12,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,66.38554,50,1,15783.9832000002
13,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,0.48193,2.6506,1,8476.55280000012
14,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,61.20482,29.51807,1,6774.03440000001
15,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,50,50,1,13006.5359999999
