Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,33.13253,28.79518,0
2,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,7.71084,22.16867,1
3,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,36.26506,54.21687,0
4,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,22.77108,42.89157,0
5,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,18.19277,34.57831,0
6,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,73.25301,58.55422,0
7,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,61.08434,35.3012,0
8,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,60.24096,56.98795,0
9,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,54.09639,10.60241,1
10,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,74.57831,43.61446,0
11,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,58.55422,55.90361,0
12,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,82.40964,67.3494,0
13,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.96386,2.28916,0
14,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,57.22892,14.09639,0
15,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,58.6747,55.66265,1
16,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,90.24096,85.54217,0
17,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,66.50602,11.44578,0
18,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,100.0,67.95181,0
19,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,9.75904,24.93976,0
20,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,100.0,0.0,0
21,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,90.96386,23.01205,0
22,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,71.92771,35.90361,0
23,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,0.0,15.66265,0
24,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,59.87952,42.40964,0
25,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,96.0241,81.92771,0
26,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,53.49398,39.51807,0
27,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,42.04819,43.01205,0
28,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,63.25301,50.0,0
29,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,100.0,100.0,0
30,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,75.42169,29.63855,0
31,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,84.33735,70.72289,0
32,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,73.25301,13.85542,0
33,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,100.0,100.0,0
34,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,93.49398,79.15663,0
35,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,100.0,0.0,0
36,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,75.3012,38.07229,0
37,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,50.0,50.0,1
38,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,10.12048,5.06024,0
39,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,78.07229,69.15663,0
40,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,53.85542,3.9759,0
41,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,50.0,31.56627,0
42,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,99.39759,39.39759,0
43,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,100.0,90.60241,0
44,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,2.04819,0
45,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,99.75904,30.84337,0
46,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,79.51807,58.31325,0
47,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,59.15663,58.6747,0
48,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,61.44578,11.20482,0
49,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,5.90361,22.40964,1
