"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,64.6988,50,0,12028.1771000001
2,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,56.50602,50,1,12190.4912
3,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,47.46988,50,0,4586.59120000001
4,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,54.21687,50,0,4878.92879999994
5,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,55.66265,50,0,4267.5851000001
6,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,36.98795,50,0,7121.03440000006
7,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,53.85542,50,0,6657.32670000009
8,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,32.89157,50,0,6999.2016000002
9,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,57.83133,50,1,6727.52880000009
10,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,44.45783,50,0,7652.51759999996
11,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,53.9759,50,0,5690.73600000006
12,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,72.6506,50,0,6718.10480000009
13,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,52.89157,50,1,3286.06719999999
14,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,52.53012,50,0,7390.38339999988
15,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,54.33735,50,0,7470.75120000011
16,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,35.78313,50,0,4308.09970000008
17,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,77.95181,50,0,9171.41759999984
18,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,57.95181,50,0,4680.94800000009
19,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,54.33735,50,0,5028.45600000004
20,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,62.16867,50,0,7486.55760000018
