"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,26.50602,37.3494,1,16005.3448000001
2,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,8.55422,77.83133,0,13445.9032000001
3,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,100,100,0,11034.0384
4,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,30.96386,30.24096,0,14522.6392000001
5,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,24.33735,37.95181,0,12215.196
6,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,9.39759,73.49398,1,11882.7080000001
7,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,36.62651,0,11800.0104
8,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,100,100,0,13866.1952000001
9,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,86.0241,79.75904,1,8375.13759999987
10,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,35.90361,37.10843,1,13775.0856
11,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,58.43373,38.43373,0,6533.76240000006
12,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,33.73494,40.60241,1,10398.9296
13,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,21.92771,0,18997.5760000005
14,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,100,75.42169,0,6674.64239999984
15,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,73.13253,33.9759,0,10133.7104000002
16,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,6.98795,82.77108,0,10916.5967999995
17,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,60.84337,39.27711,0,9559.65759999981
18,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,22.04819,36.74699,1,11241.6160000002
19,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,84.21687,69.63855,0,11492.5327999999
20,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,88.19277,75.90361,0,12176.0096000003
21,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,90.72289,100,0,6474.80719999998
22,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,92.89157,20.60241,0,7793.70000000025
23,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,94.57831,80,0,7209.63520000025
24,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,63.49398,36.62651,1,4175.65679999988
25,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,29.75904,38.91566,0,10083.6519999996
26,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,88.91566,78.91566,0,9508.77360000048
27,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,83.85542,79.27711,0,9616.22879999992
28,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,100,100,0,6724.74400000042
29,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,20.60241,34.57831,0,7925.08320000028
30,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,8.31325,30.24096,1,6801.25760000013
31,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,38.19277,43.13253,1,7866.22960000008
32,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,95.18072,85.3012,0,8200.52959999978
33,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,74.45783,17.95181,0,8991.87520000118
34,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,14.21687,40,0,11225.4399999994
35,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,73.37349,41.80723,0,6291.73759999999
36,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,96.98795,100,0,7567.19279999996
37,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,67.3494,30.36145,1,5408.24559999944
38,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,0,7.22892,0,9750.66159999988
39,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100,96.38554,0,7316.74560000037
40,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,62.04819,40.60241,0,6699.98480000068
41,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,46.86747,28.91566,1,14216.2127999995
42,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,100,87.95181,0,9592.43840000057
43,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,27.3494,36.0241,0,10474.8848
44,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,20.96386,36.26506,0,6333.96159999899
45,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,81.3253,75.66265,0,8966.97279999999
46,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,93.49398,93.37349,0,9270.95519999985
47,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,0,81.20482,0,7529.45120000036
48,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,91.44578,87.83133,0,8138.43439999933
49,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,35.54217,68.07229,0,10325.3008000001
50,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,86.62651,28.79518,0,8609.8032000002
51,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,80.84337,0,7333.5863999998
52,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,11.68675,28.55422,0,13349.6087999997
53,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,100,87.10843,0,4225.03519999993
54,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,63.37349,41.20482,0,4771.42879999953
55,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,4.6988,92.6506,0,12746.6120000001
56,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,100,88.07229,0,6616.35839999991
57,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,0,8.07229,0,5300.15600000019
58,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,34.93976,17.3494,0,7066.27520000003
59,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,70.24096,70.48193,0,7141.31360000034
60,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,96.62651,76.98795,0,5441.79199999978
61,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,100,95.3012,0,5834.4639999998
62,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,32.28916,43.9759,1,11083.6256
63,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,90.12048,71.08434,0,7696.46320000128
64,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,8.43373,14.33735,1,10492.2719999993
65,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,95.90361,88.43373,0,9858.47680000018
66,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,67.10843,35.3012,1,6274.6224
67,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,76.62651,40.36145,1,8783.61039999989
68,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,92.53012,6.74699,0,6258.51200000022
69,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,86.74699,77.71084,0,8958.77040000003
70,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,77.46988,20.60241,1,6358.48960000009
