Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,64.6988,50.0,0
2,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,56.50602,50.0,1
3,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,47.46988,50.0,0
4,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,54.21687,50.0,0
5,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,55.66265,50.0,0
6,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,36.98795,50.0,0
7,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,53.85542,50.0,0
8,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,32.89157,50.0,0
9,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,57.83133,50.0,1
10,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,44.45783,50.0,0
11,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,53.9759,50.0,0
12,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,72.6506,50.0,0
13,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,52.89157,50.0,1
14,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,52.53012,50.0,0
15,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,54.33735,50.0,0
16,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,35.78313,50.0,0
17,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,77.95181,50.0,0
18,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,57.95181,50.0,0
19,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,54.33735,50.0,0
20,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,62.16867,50.0,0
21,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,53.25301,50.0,1
22,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,31.56627,50.0,1
23,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,50.0,50.0,0
24,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,67.59036,50.0,0
25,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,64.93976,50.0,0
26,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,88.07229,68.55422,0
27,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,96.50602,50.0,0
28,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,53.37349,50.0,0
29,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,32.89157,50.0,0
30,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,54.09639,50.0,0
31,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,72.40964,50.0,0
32,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,76.74699,51.68675,0
33,159,Should some people feel obliged to change their lifestyle to combat global warming?,Changes to individual lifestyles do not make a difference,9,33.01205,50.0,0
34,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,36.14458,50.0,0
35,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,42.6506,50.0,1
36,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,56.14458,50.0,0
37,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,56.98795,50.0,0
38,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,61.68675,50.0,0
39,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,45.06024,50.0,0
40,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,23.61446,50.0,0
41,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,53.49398,50.0,0
42,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,44.21687,50.0,0
43,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,44.33735,50.0,0
44,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,13.01205,50.0,0
45,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,50.0,0
46,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,9.15663,50.0,1
47,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,77.10843,54.81928,0
48,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,92.89157,50.0,0
49,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,54.6988,50.0,0
50,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,92.16867,63.37349,0
51,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,55.3012,50.0,0
52,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,37.95181,50.0,1
53,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,41.20482,50.0,0
54,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,50.0,50.0,0
55,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,50.0,1
56,37,Is Darwinian Evolution Philosophy or Science?,Darwin's theory has logical flaws and is therefore hardly in the realm of science,14,3.01205,50.0,0
57,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,58.79518,50.0,0
58,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,83.73494,54.09639,0
59,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,53.73494,50.0,1
60,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,57.46988,50.0,0
61,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,59.03614,50.0,0
62,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,54.09639,50.0,1
63,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,55.3012,50.0,1
64,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,46.62651,50.0,0
65,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,42.6506,50.0,0
66,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,44.21687,50.0,0
67,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,45.66265,50.0,1
68,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,51.68675,50.0,1
