"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,0,42.77108,1,12673.2952
2,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,80.24096,60.12048,0,10289.0088000002
3,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,12.77108,32.89157,0,5408.32320000001
4,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,43.25301,50,1,9034.97360000004
5,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,39.75904,0,6466.14819999998
6,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,53.49398,46.62651,1,4966.82079999993
7,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,34.21687,69.39759,0,6783.55360000006
8,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,56.50602,63.61446,0,11694.397
9,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,68.07229,68.79518,0,6557.72860000006
10,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,70.72289,37.95181,1,4481.86220000008
11,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,47.3494,38.19277,0,7991.5734
12,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,12.89157,40.60241,0,4240.29520000008
13,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,55.06024,50,0,3366.92879999999
14,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,44.93976,45.66265,0,3300.61940000006
15,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,85.54217,25.42169,0,4183.48159999982
16,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,86.86747,50,0,4066.99919999999
17,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,52.40964,47.71084,1,6531.78240000003
18,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,50,34.81928,0,7271.89760000017
19,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,66.98795,34.09639,0,4816.80399999989
20,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,50,50,1,5216.95200000008
21,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,70.24096,51.56627,0,6316.79599999998
22,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,83.9759,36.26506,0,3816.72879999996
23,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,74.33735,43.85542,1,5643.49680000017
24,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,78.55422,65.18072,0,16832.418
25,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,96.98795,8.43373,0,6933.43440000009
26,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,92.89157,91.92771,0,4526.17599999992
27,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,41.68675,50,0,4691.76079999999
28,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,38.79518,30.24096,0,4924.68479999999
29,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,96.0241,13.01205,0,9875.22399999982
30,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,61.20482,58.19277,0,10823.6058000002
31,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,47.59036,50,0,3741.83759999997
32,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,81.44578,28.91566,0,1900.10719999991
33,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,62.04819,34.57831,1,4966.77520000044
34,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,0,33.25301,0,4908.54400000005
35,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,97.3494,91.56627,0,3524.9812000001
36,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,89.27711,62.53012,0,3765.41359999991
37,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,53.37349,35.42169,0,2833.5290000001
38,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,82.53012,50,0,5501.14559999993
39,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,70.24096,61.80723,0,3850.05839999992
40,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,65.3012,38.91566,0,9657.18560000003
41,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,91.80723,34.45783,0,6324.84340000014
42,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,32.77108,45.42169,1,2682.21539999993
43,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,0,34.93976,0,4775.24719999998
44,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,96.74699,9.75904,0,5623.91860000003
45,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,69.15663,58.79518,0,5716.78160000011
46,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,49.63855,50,0,4449.89439999999
47,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,41.56627,47.95181,0,3392.7281999999
48,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,72.28916,50,0,4550.06019999995
49,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,0,50,0,4934.4071999999
50,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,40.84337,44.93976,1,4782.49140000006
51,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,50,50,1,7083.39600000018
52,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,47.10843,50,1,5837.88899999985
53,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,50,50,0,4905.47100000019
54,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,63.49398,39.15663,0,6717.2183999999
55,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,77.46988,73.37349,0,6417.82660000014
56,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,92.40964,35.54217,0,3633.57459999999
57,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,50,50,1,4799.78179999988
58,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,77.83133,39.75904,0,4025.57400000014
59,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,21.20482,45.90361,1,4950.19180000015
60,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,60.12048,41.08434,1,5232.35600000026
61,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,86.26506,68.19277,0,8806.00660000008
62,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,100,97.71084,0,3465.03520000004
63,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,56.98795,33.85542,0,3533.46639999992
64,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,64.81928,30.36145,0,4654.62900000031
65,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,97.3494,64.57831,0,3325.01379999972
66,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,88.19277,35.54217,0,6026.24000000034
67,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,65.3012,24.93976,0,4642.5514
68,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,45.54217,25.06024,1,6474.77500000003
69,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,58.91566,50,0,4699.84100000001
70,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,91.92771,50.12048,0,4947.72580000013
71,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,69.39759,57.95181,0,2183.41080000007
