"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,98.31325,72.77108,0,3675.20720000001
2,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,92.53012,100,1,4156.08399999997
3,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,67.59036,60,0,5800.10719999998
4,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,100,66.74699,0,3217.3632
5,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,91.80723,70.60241,0,3825.04079999999
6,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,88.55422,29.03614,0,3983.78339999993
7,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,66.86747,65.06024,0,5066.81460000001
8,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,22.89157,61.20482,0,4008.69499999999
9,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,83.9759,71.56627,0,5053.6504
10,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,98.19277,63.13253,0,5671.13200000002
11,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,100,72.04819,0,7686.91520000006
12,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,0,0,0,4608.47200000004
13,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,98.55422,23.49398,0,5337.92679999997
14,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,92.04819,69.27711,0,2600.23839999996
15,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,83.73494,65.54217,0,4991.69640000003
16,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,0,71.08434,0,2066.99439999997
17,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,25.66265,40.72289,0,3142.05400000003
18,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,40.12048,39.75904,0,2333.50400000001
19,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,40,42.53012,0,4203.80240000004
20,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,100,67.22892,0,2708.37839999996
21,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,39.51807,43.73494,0,6700.20720000001
22,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,100,62.53012,0,3136.43519999995
23,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,100,60.24096,0,4150.09200000009
24,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,24.45783,27.3494,1,5514.66380000004
25,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,58.91566,62.77108,0,2552.40079999997
26,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,37.83133,31.56627,0,2391.57520000002
27,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,26.38554,32.77108,0,4481.228
28,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,68.07229,22.77108,0,2874.97660000011
29,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,26.62651,30.24096,0,3086.6464
30,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,19.87952,38.79518,0,4566.55480000004
31,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,87.46988,36.14458,0,2751.8771999999
32,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,36.14458,66.98795,0,3708.43919999996
33,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,90.36145,68.31325,0,4072.89359999995
34,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,25.3012,36.38554,1,3266.56339999996
35,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,40.84337,32.53012,0,1816.60800000004
36,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,89.15663,62.53012,0,2906.32799999998
37,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,38.31325,31.08434,0,3083.42079999996
38,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,86.86747,68.6747,0,1849.62180000005
39,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,21.20482,64.09639,0,3766.62399999984
40,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,93.37349,37.3494,0,2991.83960000012
41,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,95.66265,73.9759,0,2050.32100000005
42,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,76.62651,29.27711,0,2608.15419999982
43,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,95.90361,66.50602,0,8592.0297999999
44,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,34.93976,31.56627,0,1310.20240000001
45,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,100,72.77108,0,4474.63419999991
46,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,61.80723,26.74699,0,7475.81300000003
47,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,93.37349,41.92771,0,1382.55119999999
48,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,100,77.46988,0,1742.11399999989
49,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,10.48193,38.43373,0,4689.16720000008
50,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,100,74.6988,0,3692.04760000011
51,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,83.49398,64.09639,0,3568.92420000001
52,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,93.73494,39.03614,0,3116.65199999971
53,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,89.51807,64.81928,0,1374.97639999998
54,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,63.85542,60,0,2375.4972000001
55,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,88.55422,64.45783,0,4133.27680000023
56,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,30.48193,32.89157,0,3991.57240000018
57,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,73.01205,63.73494,0,1049.73780000006
58,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,70.96386,74.81928,0,5602.51060000033
59,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,60.96386,31.44578,1,658.136200000008
60,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,100,52.40964,0,2683.61440000008
61,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,93.01205,69.15663,0,1342.1778
62,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,68.91566,93.25301,0,2424.96799999994
63,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,100,55.78313,0,2958.5598000001
64,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,60.24096,66.86747,0,3050.01040000003
65,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,85.66265,22.16867,0,1241.66879999987
66,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0.24096,0,0,5892.29999999982
67,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,25.66265,37.46988,0,5441.80319999991
