"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,50,38.91566,1,10385.12
2,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,32.53012,50,0,9316.89119999996
3,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,10.72289,63.49398,1,11000.3648
4,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,50.60241,50,0,10375.2247999999
5,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,68.43373,36.26506,0,12532.7446
6,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,21.80723,18.19277,0,10608.864
7,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,50.48193,39.15663,0,6341.76400000005
8,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,56.86747,42.04819,0,9150.21340000007
9,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,93.61446,12.28916,0,13968.0316
10,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,50,34.6988,0,9937.19039999999
11,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,67.59036,61.80723,0,8091.58719999998
12,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,21.08434,21.92771,0,7200.13840000009
13,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,53.61446,36.38554,0,5550.44800000009
14,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,41.44578,35.06024,0,6108.87759999995
15,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,60.36145,37.83133,0,5700.31259999983
16,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,17.59036,2.40964,1,11106.5072
17,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,32.77108,0,7058.34079999998
18,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,12.77108,18.79518,0,6560.00179999997
19,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,34.81928,50,0,12175.3823999999
20,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,71.08434,64.57831,0,10525.7574000001
21,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,64.09639,64.81928,0,11583.6031999997
22,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,38.43373,12.53012,1,9391.5091999998
23,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,56.98795,23.49398,1,6683.31360000017
24,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,77.46988,65.18072,0,6198.8671999998
25,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,40,13.25301,0,7917.70380000025
26,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,28.91566,25.66265,1,7908.66459999972
27,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,19.03614,24.45783,1,11975.6319999998
28,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,42.16867,10.48193,0,5383.15419999982
29,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,33.9759,29.87952,1,8433.85899999999
30,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,29.51807,27.95181,0,8808.87239999982
31,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,42.77108,36.50602,0,7615.63140000007
32,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,59.15663,3.85542,0,5734.60380000004
33,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,33.25301,27.71084,1,6692.57420000015
34,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,65.06024,63.85542,1,8508.58880000015
35,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,72.04819,100,0,4958.22139999986
36,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,70.96386,71.68675,0,4794.63100000005
37,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,65.54217,33.37349,0,8939.59120000002
38,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,58.91566,38.31325,1,11293.5070000001
39,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,27.3494,30.48193,0,8741.08040000009
40,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,6.50602,0,9426.71419999981
41,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,0,0,0,8625.15040000033
42,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,57.59036,36.26506,0,7375.22459999984
43,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,73.25301,66.86747,0,6427.56520000007
44,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,26.0241,50,1,5616.34879999992
45,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,56.26506,65.90361,0,8698.22700000019
46,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,66.98795,65.42169,1,9225.26940000045
47,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,61.56627,40.12048,0,5695.31559999992
48,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,81.92771,78.79518,1,8290.5036
49,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,61.80723,37.83133,0,5725.14080000017
50,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,0,0,1,10016.8902000001
51,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,19.03614,10.96386,1,8898.40620000009
52,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,81.08434,68.6747,1,6758.24239999976
53,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,39.39759,9.03614,1,5792.02940000012
54,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,22.53012,12.53012,0,5630.54719999957
55,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,96.38554,6.0241,0,6783.7176000001
56,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,0,0,0,5859.02400000033
57,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,35.78313,18.43373,0,9403.17839999963
58,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,100,100,0,5522.82780000032
59,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,40.72289,28.19277,1,9333.05340000033
60,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,58.19277,25.18072,0,5134.43219999969
