"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,70.96386,50,0,7333.58559999997
2,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,61.56627,50,0,15602.6216
3,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,73.9759,61.44578,1,8934.83840000001
4,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,53.9759,50,0,8558.55119999994
5,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,0,35.78313,0,5076.38720000007
6,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,93.73494,50,0,5233.45520000005
7,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,100,30.36145,0,7592.67729999997
8,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,94.57831,50,0,4573.75550000003
9,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,92.40964,61.80723,0,7216.90719999993
10,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,80.12048,50,0,5466.84239999997
11,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,100,50,0,6669.56079999995
12,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,87.22892,50,0,13434.3685
13,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,37.46988,50,0,4200.1704
14,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,82.04819,50.36145,0,11902.2445
15,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,10,32.40964,0,3358.37790000002
16,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,0,65.78313,1,6250.36319999994
17,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,50,50,1,10075.4589000001
18,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,45.54217,1,9683.2939000001
19,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,67.10843,41.80723,0,6383.32130000004
20,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,26.98795,40.96386,0,7690.86590000007
21,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,50,16.74699,0,15280.6528
22,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,100,50,0,4630.58959999989
23,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,50,50,1,16113.6495999992
24,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,0,7.10843,0,6591.93520000007
25,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,100,24.33735,0,5999.75729999977
26,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,100,50,0,3846.84910000005
27,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,100,50,0,2324.99810000014
28,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100,58.55422,0,9722.08639999986
29,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,84.09639,50,0,3007.2656000001
30,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,81.80723,50,0,3958.40430000017
31,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,81.68675,50,0,2483.18610000005
32,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,76.26506,3.37349,0,3317.29040000023
33,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,50,50,1,6219.97839999991
34,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,100,0,0,7133.71069999994
35,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,50,50,1,4540.67489999981
36,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,57.95181,50,1,2208.47230000002
37,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,100,71.08434,0,4666.09230000013
38,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,0,0,1,2316.18019999983
