"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,37.10843,27.71084,0,9031.74960000006
2,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,64.21687,29.75904,0,10141.3184000001
3,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,18.6747,9.87952,0,8978.5504000001
4,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,73.73494,80.60241,0,5122.52160000002
5,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,74.6988,50.48193,0,11172.368
6,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,80.60241,100,0,8393.452
7,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,94.6988,69.75904,0,7433.69120000006
8,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,81.68675,19.51807,0,10341.256
9,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,84.93976,81.68675,0,7411.88320000018
10,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,29.27711,37.46988,0,8385.73600000012
11,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,30,30.72289,0,7841.42319999999
12,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,82.77108,19.27711,1,14733.6456000002
13,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,71.80723,13.25301,0,5498.31919999997
14,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,84.09639,26.38554,0,8444.61039999974
15,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0,0,0,6262.61600000013
16,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,20.24096,75.18072,0,9754.63520000011
17,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,27.83133,27.95181,0,5632.3551999997
18,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,24.57831,76.62651,1,11417.5823999998
19,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,24.93976,26.0241,1,5592.05919999984
20,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,49.39759,2.77108,0,4940.6191999999
21,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,74.45783,22.89157,0,6827.55520000018
22,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,100,78.31325,0,6785.02960000007
23,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,16.50602,14.6988,0,9640.50959999999
24,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,24.93976,21.80723,0,8746.8935999996
25,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,85.66265,77.59036,0,7899.22799999971
26,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,100,0,0,11061.3335999997
27,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,14.57831,0,0,10026.5743999999
28,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,50,27.71084,0,10649.3567999999
29,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,77.59036,92.16867,0,3497.95600000012
30,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,100,7.3494,0,7603.66319999978
31,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,20.60241,33.01205,1,5318.77760000003
32,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,93.13253,18.91566,0,7132.15440000012
33,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,85.66265,15.66265,0,8005.87439999962
34,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,100,0,0,9975.03919999971
35,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,80.24096,21.08434,1,23597.8936
36,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,100,23.49398,0,10887.2784
37,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,28.79518,29.03614,0,9485.30400000001
38,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,76.62651,28.79518,0,9194.55760000006
39,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,50,26.14458,0,5189.66079999996
40,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,100,0,0,10861.8200000005
41,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,75.42169,1,5961.49759999989
42,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,90.84337,20.96386,0,8059.0927999994
43,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,100,0,0,5554.41520000017
44,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,25.3012,12.89157,1,6847.70320000034
45,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,0,1,6149.82079999987
46,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,77.59036,21.56627,1,11089.2752000011
47,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,73.37349,29.03614,1,27759.0535999992
48,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,50,24.33735,1,4782.48560000048
49,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,66.74699,67.22892,1,7858.69759999995
50,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,20.36145,32.28916,1,11489.6400000001
