Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,73.25301,42.16867,0
2,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,86.98795,77.10843,0
3,136,Should lottery be an integral component of democratic political systems?,Politics would be more representative under a lottery system,9,1.44578,14.21687,1
4,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,0.0,11.56627,0
5,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,73.01205,51.68675,0
6,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,5.90361,14.6988,0
7,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,90.84337,77.3494,0
8,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,96.74699,50.0,0
9,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,88.79518,80.24096,0
10,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,50.0,50.0,1
11,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,0.0,50.0,0
12,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,50.0,50.0,0
13,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,26.74699,27.22892,1
14,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,50.0,1
15,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,50.0,50.0,0
16,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,62.04819,59.51807,1
17,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,81.68675,73.37349,0
18,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,32.04819,50.0,1
19,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,100.0,83.37349,0
20,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,91.92771,86.38554,0
21,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,70.0,50.0,0
22,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50.0,50.0,1
23,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,74.21687,63.37349,1
24,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,50.0,50.0,1
25,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,91.44578,34.81928,0
26,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,50.0,50.0,1
27,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,50.0,50.0,1
28,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,50.36145,50.0,1
29,289,Should we adapt to climate change rather than avert it?,"Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,66.62651,36.98795,1
30,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,38.55422,50.60241,0
31,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,50.0,50.0,1
32,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,94.21687,13.13253,0
33,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,80.84337,23.25301,0
34,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,84.6988,29.63855,0
35,59,Do electronic devices help or hurt children's development?,Using devices in school can negatively affect children's grades,9,62.53012,36.0241,0
36,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,50.0,50.0,1
37,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,31.08434,31.08434,0
38,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,72.89157,50.0,1
39,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,8.43373,0.84337,1
40,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,50.0,50.0,1
41,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,89.15663,0
42,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,50.0,50.0,1
43,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,88.07229,49.63855,0
44,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,97.3494,78.31325,0
45,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,62.16867,50.0,0
46,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,88.43373,23.25301,0
47,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,99.87952,76.26506,0
48,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,98.6747,28.07229,0
49,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,28.43373,7.71084,0
50,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,5.18072,16.26506,1
51,62,Do electronic devices help or hurt children's development?,Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative,17,30.72289,50.12048,0
52,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,50.0,50.0,1
53,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,71.68675,63.61446,0
54,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,50.0,34.81928,0
55,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,92.16867,16.38554,0
56,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,82.04819,22.28916,1
57,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,50.0,50.0,1
58,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,56.14458,6.74699,0
59,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,0.0,6.86747,1
60,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,49.75904,50.0,1
