Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,167,Pro-Life vs Pro-Choice: Should Abortion be Legal?,"If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,0.0,26.62651,0
2,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,17.46988,37.95181,0
3,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,88.79518,88.07229,1
4,217,Is Eating Meat Wrong?,Consuming meat is an important part of many cultures and religions,11,96.0241,89.39759,1
5,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,98.31325,86.14458,1
6,143,Should lottery be an integral component of democratic political systems?,Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared,16,86.0241,83.13253,1
7,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,71.44578,68.31325,1
8,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,83.85542,82.40964,1
9,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,28.19277,38.6747,0
10,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,96.86747,91.56627,1
11,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,25.3012,34.33735,0
12,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,76.62651,70.48193,1
13,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,68.31325,65.54217,1
14,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,76.50602,70.12048,1
15,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,8.6747,17.95181,0
16,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,62.77108,57.3494,1
17,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,85.18072,76.14458,1
18,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,63.37349,56.14458,1
19,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,38.6747,45.78313,0
20,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,23.37349,39.87952,0
21,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,20.12048,29.63855,0
22,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,23.37349,30.60241,0
23,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,75.90361,72.16867,1
24,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,34.93976,41.56627,0
25,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,36.50602,43.85542,0
