"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,34.45783,42.89157,0,6333.392
2,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,62.04819,51.20482,0,20038.2159
3,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,54.81928,52.04819,0,8760.33039999994
4,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,34.45783,29.03614,0,8164.37280000001
5,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,68.43373,68.31325,0,23674.4632
6,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,89.63855,72.04819,0,5325.37660000003
7,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,41.3253,44.81928,0,21050.3345999998
8,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,71.56627,66.74699,0,8100.23809999993
9,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,88.91566,14.21687,0,10604.7911999999
10,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,41.20482,40.84337,0,6683.5271
11,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,97.59036,4.45783,0,7971.06070000003
12,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,0,0,0,9670.28309999997
13,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,27.71084,17.71084,0,9563.86969999984
14,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,24.81928,24.09639,0,4133.93670000005
15,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,0,24.45783,0,6266.65370000011
16,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,58.07229,35.66265,0,18483.9901000002
