"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,22.04819,22.89157,1,12240.0992
2,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,30,30.96386,0,6766.74960000001
3,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,64.09639,71.92771,0,12992.396
4,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,59.03614,49.03614,1,5427.8224
5,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,67.10843,24.33735,0,4724.96879999999
6,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,77.59036,88.55422,0,12637.7104
7,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,52.28916,55.54217,0,15023.7255999997
8,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,50,50,1,14400.7103999999
9,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,91.08434,85.66265,0,8616.59679999985
10,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,67.22892,23.25301,0,7706.08639999988
11,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,43.01205,42.28916,0,8748.74160000008
12,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,42.04819,38.07229,0,6374.14640000008
13,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,50,46.86747,0,8125.86640000003
14,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,50,50,0,3841.8143999999
15,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,50,50,1,3615.78960000008
16,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,35.78313,51.80723,0,10718.8119999998
17,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,37.3494,31.08434,0,2775.21200000009
18,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,50,50,1,16501.4032
