Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,79.39759,79.87952,0
2,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,72.89157,68.79518,0
3,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,50.0,50.0,0
4,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,80.48193,66.74699,0
5,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,34.21687,34.57831,0
6,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,50.0,50.0,0
7,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,50.0,50.0,0
8,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,70.24096,72.28916,0
9,190,Should religion be involved in politics?,"Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,50.0,50.0,0
10,198,Should Sex Work Be Legal?,"The legalisation of sex work increases its prevalence, resulting in more harm",12,50.0,50.0,0
11,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,77.3494,75.90361,0
12,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,66.26506,71.20482,0
13,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,50.0,50.0,0
14,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,38.07229,37.46988,0
15,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50.0,50.0,0
16,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,60.96386,50.0,0
17,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,93.01205,88.91566,0
18,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,50.24096,50.0,0
19,128,Is Science Akin To Religion?,"There exist many kinds of different religions, some are akin to science, and some are not",16,74.09639,66.38554,0
20,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,36.50602,32.28916,0
21,31,Is Darwinian Evolution Philosophy or Science?,No single example of evolution has ever been documented,9,82.6506,50.0,0
22,153,Is modern technology a disadvantage to society?,Our society is changing at a pace that must be matched by technological development to prevent disaster,17,50.0,50.0,0
23,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,69.75904,50.0,0
24,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,78.07229,73.49398,0
25,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,73.37349,66.62651,0
26,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,78.55422,76.98795,0
27,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,49.15663,50.0,0
28,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,30.48193,32.04819,0
29,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,63.13253,67.22892,0
30,149,Is modern technology a disadvantage to society?,Relying too heavily on technology makes a society vulnerable,9,72.04819,71.44578,0
31,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,64.09639,62.89157,0
32,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,50.0,50.0,0
33,181,Should nuclear energy replace fossil fuels?,Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency,17,50.0,50.0,0
34,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,37.10843,39.27711,0
35,132,Is social media helping or harming human relationships?,Social media allows users to connect with more people,9,89.75904,68.19277,0
