Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,130,Is social media helping or harming human relationships?,"Social media has made it easier to communicate, improving the quality of communication",13,21.80723,78.43373,0
2,204,Should the sale of genetically modified food be banned?,"GMOs are more cost effective than unmodified foods, bringing many benefits",11,50.0,50.0,1
3,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,23.85542,23.01205,0
4,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,50.0,50.0,1
5,151,Is modern technology a disadvantage to society?,We are unable to enjoy the present moments in our life due to technology,14,50.0,38.19277,0
6,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,93.13253,78.19277,0
7,196,Should Sex Work Be Legal?,"It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,78.07229,73.13253,0
8,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,26.50602,50.0,0
9,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,99.03614,78.43373,0
10,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,26.50602,33.61446,0
11,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,30.84337,33.01205,0
12,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,22.28916,30.72289,0
13,176,Should abortion be considered murder?,Equating abortion with murder would cause women to use unsafe methods and put their lives at risk,17,100.0,13.61446,0
14,134,Is social media helping or harming human relationships?,Social media is shown to induce depression in individuals,9,84.93976,13.13253,0
15,50,Did a divine being create the universe?,Observations have dwindled for God's creative power as humanity has advanced,11,50.0,50.0,1
16,29,Are Humans fundamentally different from other animals?,Genetics prove humans are fundamentally very similar to other species,10,78.55422,75.06024,0
17,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,86.50602,64.21687,0
18,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,20.72289,4.93976,0
19,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,81.20482,28.91566,0
20,60,Do electronic devices help or hurt children's development?,Devices can negatively affect children's social and psychological development,9,76.0241,22.04819,0
21,101,Is it ethically wrong to watch pornography?,"Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,68.6747,68.6747,0
22,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,76.26506,73.73494,0
23,193,Should religion be involved in politics?,Involving religion in politics is antithetical to the principles of a secular democratic society,14,63.61446,19.27711,0
24,216,Is Eating Meat Wrong?,The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate,20,64.6988,25.66265,0
25,158,Should some people feel obliged to change their lifestyle to combat global warming?,Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale,19,100.0,25.54217,0
26,219,Is Eating Meat Wrong?,"Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,23.01205,16.26506,0
27,237,Will man-made climate change cause human extinction?,Evidences and statistics suggest that actions taken by us are enough to deal with major climate change,17,50.0,50.0,1
28,214,Is Eating Meat Wrong?,Ending the production of meat will be necessary in order to meet the growing food needs of the world's population,20,83.01205,50.0,0
29,249,Should all drugs be legalised?,Drugs should remain banned because they are detrimental to the health of those who use them,16,29.51807,23.9759,0
30,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,99.15663,70.60241,0
31,228,Should the use of plastic be avoided?,Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to,16,21.80723,21.3253,0
32,21,Are Humans fundamentally different from other animals?,Humans are intellectually superior to other beings on Earth,9,2.53012,6.26506,0
33,280,Should there be no limit to freedom of speech?,Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies,13,88.6747,52.16867,0
34,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,34.33735,50.0,0
35,107,Is it ethically wrong to watch pornography?,"Watching pornography contributes to human rights abuses, including gender inequality",10,69.27711,23.13253,0
36,245,Should all drugs be legalised?,The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped,17,78.91566,66.14458,0
37,177,Should animal testing be banned?,There are preferable alternatives to animal testing that are more accurate and humane,13,78.19277,71.56627,0
38,117,Is Science Akin To Religion?,Science and religion are similar in that both have been used to explain the origin of man,17,57.95181,60.24096,0
39,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,22.04819,23.13253,0
40,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,74.93976,72.77108,0
41,188,Should religion be involved in politics?,The involvement of religion in politics is necessary to ensure laws and policies are ethical,15,34.21687,24.21687,0
42,246,Should all drugs be legalised?,"If drugs were legalised, the drug trade would be less able to fuel serious crime",15,66.62651,69.03614,0
43,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,70.24096,72.04819,0
44,24,Are Humans fundamentally different from other animals?,Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness,16,76.50602,67.71084,0
45,115,Is radiation from cell phones and Wi-Fi harmful?,The effects of cell phones and Wi-Fi are minimal at best,11,50.0,50.0,0
46,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,12.89157,19.63855,0
47,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,99.03614,20.0,0
48,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,89.27711,6.0241,0
49,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,50.0,0
50,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,0.12048,16.14458,0
51,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,65.66265,35.3012,0
52,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,25.06024,48.91566,0
53,236,Will man-made climate change cause human extinction?,Climate Change is slow. We can adapt within that timeframe,10,13.49398,15.78313,0
54,195,Should Sex Work Be Legal?,The government has no right to outlaw an interaction between consenting adults,12,69.87952,69.03614,0
55,287,Should we adapt to climate change rather than avert it?,It is impossible to stop climate change and its impacts,10,12.77108,16.50602,0
56,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,50.0,48.31325,0
57,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,84.21687,86.74699,0
58,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,18.6747,18.79518,0
59,233,Will man-made climate change cause human extinction?,"Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,82.77108,70.72289,0
60,230,Will man-made climate change cause human extinction?,Animal species have already started to become extinct. Human extinction is likely to follow,14,78.43373,61.08434,0
61,23,Are Humans fundamentally different from other animals?,Humans have a sense of self-awareness and individual identity,9,75.3012,76.50602,0
62,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,97.71084,87.3494,0
63,180,Should animal testing be banned?,Animal testing is an effective method of testing products,9,71.08434,9.27711,0
