Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,157,Is modern technology a disadvantage to society?,Technology has forever changed day-to-day life for the better,9,70.96386,50.0,0
2,276,Should there be no limit to freedom of speech?,Isolated speech has zero capacity to inflict physical harm,9,61.56627,50.0,0
3,161,Should some people feel obliged to change their lifestyle to combat global warming?,People in today's society should change their lifestyles because the quality of life of future generations is equally important,19,73.9759,61.44578,1
4,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,53.9759,50.0,0
5,47,Did a divine being create the universe?,Many complex phenomena and interactions in the universe indicate the work of a creator,14,0.0,35.78313,0
6,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,93.73494,50.0,0
7,126,Is Science Akin To Religion?,"Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,100.0,30.36145,0
8,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,94.57831,50.0,0
9,56,Do electronic devices help or hurt children's development?,Electronic devices help differently abled children read and write like other kids,12,92.40964,61.80723,0
10,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,80.12048,50.0,0
11,164,Pro-Life vs Pro-Choice: Should Abortion be Legal?,People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies,21,100.0,50.0,0
12,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,87.22892,50.0,0
13,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,37.46988,50.0,0
14,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,82.04819,50.36145,0
15,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,10.0,32.40964,0
16,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,0.0,65.78313,1
17,140,Should lottery be an integral component of democratic political systems?,"There would be less corruption as every time the lottery happens, all the corruption would leave",16,50.0,50.0,1
18,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,45.54217,1
