"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,60.48193,66.26506,0,6301.22800000001
2,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,78.19277,43.61446,0,21550.4128
3,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,67.71084,32.77108,0,9864.59040000006
4,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,63.9759,31.20482,0,13953.4187999999
5,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,67.71084,76.0241,0,9587.71959999989
6,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,27.59036,71.08434,0,14426.9468
7,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,31.56627,67.10843,0,2019.3256000001
8,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,80,29.27711,0,6800.52000000017
9,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,76.26506,70,0,9296.89679999996
10,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,70.72289,66.98795,0,7986.76999999993
11,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,26.38554,67.59036,0,411.406400000006
12,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,59.27711,26.26506,0,9663.14679999984
13,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,61.56627,35.90361,0,1459.65280000001
14,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,57.95181,37.10843,0,191.664000000048
15,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,68.43373,20.48193,0,1305.82160000008
16,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,80.96386,32.53012,0,8508.55519999994
