"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,48.19277,56.14458,1,14716.9616
2,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,45.90361,45.18072,0,5717.19670000003
3,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,90.12048,9.39759,0,9906.72330000001
4,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,21.80723,6.26506,0,4150.06540000002
5,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,100,0,1,6485.95850000002
6,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,82.16867,64.45783,0,5165.93040000006
7,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,92.40964,50,0,9091.2117999999
8,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,41.80723,39.87952,1,3933.42090000008
9,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,97.10843,3.49398,1,5901.39929999996
10,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,90.60241,0,0,4066.88079999999
11,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,90.72289,0,1,8526.37519999998
12,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,100,27.10843,1,3833.35839999994
13,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,100,100,0,3075.17039999994
14,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,96.14458,44.09639,0,7541.19740000001
15,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,72.6506,60.72289,0,5886.02480000005
16,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,76.74699,39.03614,1,12390.992
17,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,100,100,0,3650.19119999998
18,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,89.15663,87.71084,0,7990.63439999993
19,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,46.26506,15.90361,1,4850.20559999996
20,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,100,0,0,4675.05290000004
21,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,67.22892,22.53012,1,14630.5504000001
22,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,76.62651,66.50602,0,5844.67770000006
23,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,57.83133,15.42169,1,8058.11109999992
24,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,50,7.83133,1,17968.4959000001
25,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,29.87952,19.03614,0,3942.87359999988
