"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,3.25301,28.19277,0,5837.74399999997
2,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,93.73494,81.68675,0,6970.11770000005
3,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,40.12048,41.3253,0,5155.12639999998
4,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,11.56627,25.54217,0,6668.31849999998
5,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,63.01205,58.6747,0,5852.26710000001
6,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,84.09639,24.57831,0,6642.83279999989
7,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,14.6988,30.84337,0,6509.74570000004
8,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,30,37.10843,1,4851.29019999997
9,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,36.98795,33.37349,1,5915.52800000004
10,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,68.43373,59.27711,1,7077.38559999997
11,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,71.92771,61.80723,0,5400.18899999998
12,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,70.60241,69.27711,0,4894.0368
13,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,6.26506,9.63855,0,5040.63759999996
14,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,59.15663,28.91566,0,8423.36479999995
15,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,96.0241,66.86747,0,12812.3593000001
16,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,36.26506,36.38554,1,6806.7447999999
17,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,67.59036,62.16867,0,8209.49439999997
18,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,0,0,1,5818.78390000007
19,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,50,50,1,4252.45440000005
20,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,58.19277,76.98795,0,5252.56469999999
21,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,100,9.63855,0,5131.76169999997
22,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,84.93976,21.44578,0,6790.27050000001
23,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,65.18072,55.18072,0,4286.66150000005
24,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,6.0241,4.93976,1,4970.18959999995
25,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,20.12048,12.16867,0,4897.31529999993
26,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,94.81928,2.77108,0,4746.78870000006
27,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,87.59036,70.48193,0,6021.70810000005
28,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,100,90.36145,0,5028.51759999996
29,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,76.38554,49.87952,0,2857.60150000011
30,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,32.04819,48.31325,0,3884.72639999993
31,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,4.09639,18.43373,0,7287.69430000021
32,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,36.62651,48.19277,0,3217.8112
33,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,0,0,0,5464.2721
34,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,41.08434,33.01205,1,6415.35830000014
35,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,22.6506,50,0,3478.03040000016
36,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,93.13253,62.28916,0,5997.37839999999
37,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,50,50,1,8361.18719999998
38,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,43.25301,50,0,5214.46639999998
39,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,90.96386,81.3253,0,5262.51679999975
40,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,99.27711,88.07229,0,5738.33829999983
41,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,64.21687,33.85542,0,3134.67920000007
42,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,11.44578,8.91566,1,17557.0568000005
43,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,0,1.20482,0,4204.36479999998
44,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,0,20.36145,0,4544.31049999967
45,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,60.36145,42.16867,0,6465.5950999998
46,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,81.56627,75.90361,0,5483.92080000002
47,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,2.40964,7.83133,0,6334.8648000001
48,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,73.13253,50,1,8683.8296
49,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,8.91566,13.01205,1,5394.15930000006
50,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,58.6747,41.20482,0,7015.33829999983
51,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,65.54217,93.25301,0,4264.01270000002
52,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,81.3253,27.10843,0,3756.16329999996
53,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,84.57831,57.59036,0,5782.25039999979
54,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,68.55422,39.39759,0,3310.65200000018
55,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,98.79518,0,0,7687.15920000005
56,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,15.66265,29.15663,0,6866.5968
57,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,98.07229,35.06024,0,5245.23520000005
58,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,68.79518,50,0,2811.87429999991
59,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,53.85542,41.68675,0,2981.13449999969
60,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,89.27711,68.6747,1,6897.01110000006
61,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,90.36145,94.21687,0,4230.48800000001
62,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,5.78313,4.93976,0,9420.83209999994
63,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,62.89157,40.24096,1,4768.06549999881
64,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,0,0,1,10407.5440999998
65,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,44.57831,7.83133,0,7928.3783000001
