"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,100,30.36145,0,10558.5279999999
2,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,69.63855,5.78313,0,23336.0210000001
3,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,94.57831,32.53012,0,11757.6207
4,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,99.39759,0,0,9155.29760000017
5,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,9.27711,45.18072,1,7295.03039999993
6,167,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","If people have the right to choose, they could make biased choices regarding which foetuses to abort",17,71.68675,4.81928,0,8879.12160000001
7,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,60.96386,50,1,5575.34719999984
8,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,70.24096,7.3494,0,11367.9415999998
9,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,73.01205,50,0,3532.96239999999
10,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,0.72289,0,0,7008.49129999997
11,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,71.44578,28.55422,1,18198.9952
12,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,61.56627,50,0,3558.45359999992
13,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,71.08434,9.03614,0,4048.79199999999
14,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,60.72289,15.42169,0,7283.78080000004
15,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,74.57831,30.72289,1,6667.15359999999
16,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,100,97.46988,0,8210.30879999974
17,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,33.49398,20.84337,1,13244.5832000003
18,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,84.6988,90,0,5270.22320000024
19,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,82.16867,26.26506,0,16566.1231999999
20,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,59.87952,11.44578,1,11125.6464000001
21,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,11.20482,10.60241,1,5358.18069999991
22,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,100,0,0,6433.36400000029
23,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,99.51807,76.86747,0,5627.27929999982
24,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,97.59036,67.71084,0,17554.9031000002
25,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,36.98795,50,1,7378.30880000006
26,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,96.62651,87.10843,0,8092.22319999989
27,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,59.51807,50,0,6675.36080000014
28,287,"Should we adapt to climate change rather than avert it?","It is impossible to stop climate change and its impacts",10,98.07229,0,0,7089.67839999986
29,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,28.79518,12.04819,1,6279.7799999998
30,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,97.59036,87.59036,0,5659.11919999984
31,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,91.3253,82.04819,1,12490.4343000003
32,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,85.18072,72.53012,1,12135.0976
33,289,"Should we adapt to climate change rather than avert it?","Adaptation is a short-term solution, whereas averting climate change is a long-term solution",13,74.45783,38.31325,0,6933.1399999999
34,128,"Is Science Akin To Religion?","There exist many kinds of different religions, some are akin to science, and some are not",16,37.95181,50,1,11309.0680000001
35,117,"Is Science Akin To Religion?","Science and religion are similar in that both have been used to explain the origin of man",17,100,17.10843,0,10292.0712999998
36,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,94.45783,88.91566,0,9433.13360000012
37,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,59.51807,36.50602,1,8765.94960000005
38,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,81.20482,26.0241,0,5141.88879999961
39,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,9.39759,0,0,7926.89040000096
40,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,94.21687,99.75904,0,19459.3272000013
41,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,31.68675,7.3494,1,7587.58720000042
42,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,82.04819,75.3012,1,6605.47129999974
43,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,99.15663,63.9759,0,11394.6600999995
44,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,60.12048,50,1,6742.11680000054
45,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,7.71084,50,0,9241.42639999988
46,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,100,97.59036,0,15199.9800999983
47,37,"Is Darwinian Evolution Philosophy or Science?","Darwin's theory has logical flaws and is therefore hardly in the realm of science",14,61.44578,40.36145,1,8959.43999999971
48,203,"Should the sale of genetically modified food be banned?","A universal ban is not the right approach to addressing any potential problems with genetically modified foods",17,89.27711,73.73494,1,16468.1690000004
49,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,98.79518,6.98795,0,10202.6481999996
50,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,100,88.6747,0,13004.0049000005
51,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,99.87952,76.62651,0,3971.69040000031
52,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,99.87952,86.14458,0,4916.64880000008
53,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,100,100,0,8491.16639999987
54,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,88.6747,79.03614,0,5058.55689999938
55,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,94.21687,0,0,8483.98169999966
56,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,89.51807,80.48193,0,9083.43519999972
57,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,1.44578,1.3253,1,8122.99520000001
58,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,85.90361,70.72289,0,4750.06880000001
59,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,71.08434,65.90361,0,5838.28639999963
60,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,57.95181,50,0,6270.02469999925
61,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,59.75904,39.39759,1,4433.31119999988
62,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,12.6506,0,0,5999.3896
63,157,"Is modern technology a disadvantage to society?","Technology has forever changed day-to-day life for the better",9,38.79518,26.86747,0,6383.44960000017
64,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,85.3012,23.49398,0,15222.9088000001
65,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,75.66265,76.50602,0,8508.80799999973
66,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,72.53012,70.84337,1,11335.9600000005
67,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,0.12048,0.72289,1,3708.6408000004
68,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,100,100,0,24235.1408000008
69,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,97.59036,35.78313,0,7401.38879999996
70,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,14.93976,16.74699,0,5625.03040000028
