"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,177,"Should animal testing be banned?","There are preferable alternatives to animal testing that are more accurate and humane",13,0,40.36145,1,8955.48639999998
2,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,20.36145,1,11614.6152
3,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,19.63855,50.24096,1,9548.30080000007
4,23,"Are Humans fundamentally different from other animals?","Humans have a sense of self-awareness and individual identity",9,100,67.59036,0,7987.52800000002
5,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,72.28916,32.16867,0,6561.64199999994
6,181,"Should nuclear energy replace fossil fuels?","Nuclear energy holds much more potential than fossil fuels in evolving through technological breakthroughs and increased efficiency",17,83.9759,79.03614,0,11150.8844
7,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,68.91566,57.46988,0,9891.89840000012
8,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,25.42169,50,1,7656.61079999991
9,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,81.3253,72.40964,0,8507.38159999999
10,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,41.80723,57.83133,0,3662.6039999999
11,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,88.31325,75.66265,0,16751.1359999999
12,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,26.14458,31.08434,1,17406.5584000003
13,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,16.98795,44.21687,1,12944.0767999999
14,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,80.96386,26.74699,0,14906.5808
15,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,54.21687,34.45783,0,12588.7008000001
16,233,"Will man-made climate change cause human extinction?","Human evolution is slower than the rate of climate change, making it difficult for humans to adapt to climate change",20,63.01205,31.08434,0,15519.1455999999
17,153,"Is modern technology a disadvantage to society?","Our society is changing at a pace that must be matched by technological development to prevent disaster",17,75.42169,76.50602,0,11759.3128000001
18,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,0,54.81928,0,10563.9672000001
19,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,91.20482,21.56627,0,18951.4484000001
20,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,2.53012,33.37349,0,14567.4155999998
21,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,90.84337,69.75904,0,8479.08679999976
22,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,17.46988,29.15663,1,15170.8735999999
23,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,8.43373,45.66265,1,7140.85999999993
24,246,"Should all drugs be legalised?","If drugs were legalised, the drug trade would be less able to fuel serious crime",15,56.50602,55.66265,0,11465.7707999999
25,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,50,55.18072,0,22192.5083999999
26,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,100,78.43373,0,10123.5128000003
27,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,20.48193,13.9759,0,7120.58920000022
28,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,11.44578,37.22892,0,17847.7328000002
29,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,58.79518,45.42169,1,12829.186
30,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,19.03614,41.3253,1,11324.0487999998
31,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,47.22892,47.71084,1,9007.72399999993
32,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,99.03614,82.28916,0,5390.46240000002
33,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,76.74699,74.09639,0,8937.66600000014
34,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,11.20482,50,1,7677.33840000001
35,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,35.42169,37.71084,0,9242.58319999988
36,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,0,43.49398,0,5800.05319999985
37,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,14.57831,40.48193,1,9369.03680000012
38,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,72.28916,36.38554,0,13904.4440000001
39,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,94.33735,44.57831,0,9546.51720000012
40,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,22.53012,50,1,9389.85120000015
41,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,100,66.62651,0,6995.72200000018
42,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,98.6747,81.80723,0,5626.15720000002
43,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,68.91566,56.98795,0,10310.9303999997
44,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,44.09639,43.61446,1,10306.3904000003
45,180,"Should animal testing be banned?","Animal testing is an effective method of testing products",9,100,41.08434,0,4365.50160000008
46,59,"Do electronic devices help or hurt children's development?","Using devices in school can negatively affect children's grades",9,40.72289,29.87952,0,12890.3452000002
47,159,"Should some people feel obliged to change their lifestyle to combat global warming?","Changes to individual lifestyles do not make a difference",9,2.28916,38.55422,0,6302.1792000006
48,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,83.25301,64.81928,0,11987.8267999998
49,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,23.25301,27.22892,1,15345.0992000003
50,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,36.74699,54.6988,1,7017.95239999949
51,140,"Should lottery be an integral component of democratic political systems?","There would be less corruption as every time the lottery happens, all the corruption would leave",16,0,91.20482,1,16527.8488000012
52,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,77.71084,36.26506,0,10672.8880000003
53,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,5.3012,36.26506,0,9272.32159999921
54,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,72.89157,13.9759,0,7273.42280000006
55,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,80,20.60241,0,13301.7304000001
56,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,43.13253,42.28916,1,14519.0376000002
57,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,16.62651,62.40964,1,5137.17360000021
