"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,66.50602,65.42169,0,14770.2328
2,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,77.46988,40.96386,0,33825.3040000002
3,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,71.44578,38.31325,0,26282.608
4,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,79.15663,35.66265,0,10183.8591999999
5,151,"Is modern technology a disadvantage to society?","We are unable to enjoy the present moments in our life due to technology",14,75.42169,65.78313,0,8917.05760000006
6,161,"Should some people feel obliged to change their lifestyle to combat global warming?","People in today's society should change their lifestyles because the quality of life of future generations is equally important",19,82.77108,73.37349,0,30508.6759999999
7,196,"Should Sex Work Be Legal?","It is impossible to eradicate sex work as a profession. Therefore, it would be better to legalise it",18,67.3494,62.04819,0,17280.9704000001
8,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,84.09639,75.18072,0,20706.2432000004
9,276,"Should there be no limit to freedom of speech?","Isolated speech has zero capacity to inflict physical harm",9,50,44.33735,1,50852.3679999994
10,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,40.96386,42.16867,1,28408.4848000002
11,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,66.0241,65.54217,1,13816.9135999999
12,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,76.86747,34.6988,0,30850.1624000007
13,176,"Should abortion be considered murder?","Equating abortion with murder would cause women to use unsafe methods and put their lives at risk",17,70.36145,63.37349,0,9191.73439999984
14,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,81.3253,61.08434,0,10592.6400000002
15,50,"Did a divine being create the universe?","Observations have dwindled for God's creative power as humanity has advanced",11,59.75904,36.38554,1,13191.7903999995
16,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,72.53012,64.09639,0,6101.3551999997
17,126,"Is Science Akin To Religion?","Surveying definitions of religion shows a focus on divinity and spirituality, which are not present in Western science at all",20,70.72289,56.86747,1,37424.2832000008
18,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,15.42169,66.38554,0,11126.0551999999
19,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,73.01205,59.87952,0,18183.3408000011
20,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,74.93976,66.14458,0,12339.5704000003
21,101,"Is it ethically wrong to watch pornography?","Masturbation is natural and beneficial, and porn is a useful masturbation aid",12,68.79518,35.06024,0,6216.83279999998
22,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,69.39759,65.66265,0,12633.3983999999
23,193,"Should religion be involved in politics?","Involving religion in politics is antithetical to the principles of a secular democratic society",14,81.92771,70.48193,0,5991.72399999969
24,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,81.08434,70.60241,0,6666.0256000004
25,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,87.22892,72.6506,0,31802.2256000005
26,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,76.38554,67.10843,0,12769.9472000001
27,237,"Will man-made climate change cause human extinction?","Evidences and statistics suggest that actions taken by us are enough to deal with major climate change",17,59.39759,29.51807,1,13607.7192000006
28,214,"Is Eating Meat Wrong?","Ending the production of meat will be necessary in order to meet the growing food needs of the world's population",20,77.46988,66.62651,0,18360.3912000005
29,249,"Should all drugs be legalised?","Drugs should remain banned because they are detrimental to the health of those who use them",16,70.72289,63.25301,0,4599.74799999991
30,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,85.06024,76.86747,0,21318.7504000003
31,228,"Should the use of plastic be avoided?","Plastic may just be replaced with something less environmentally sound. So it wouldn't make sense to",16,65.66265,63.01205,0,12267.0144000003
32,21,"Are Humans fundamentally different from other animals?","Humans are intellectually superior to other beings on Earth",9,81.80723,60.24096,0,4908.46639999992
33,280,"Should there be no limit to freedom of speech?","Unlimited freedom of speech can be used to spread hateful and/or harmful ideologies",13,83.85542,43.01205,0,12625.3200000002
34,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,76.26506,62.04819,0,6800.55519999936
35,107,"Is it ethically wrong to watch pornography?","Watching pornography contributes to human rights abuses, including gender inequality",10,74.93976,28.07229,0,7167.6423999999
