"Order","Index","Topic","Argument","Words","Agreement","Emotions","New","Fixation.Time"
1,156,"Is modern technology a disadvantage to society?","Many societies would not be possible without modern technology - especially large urbanized societies",14,84.09639,43.13253,0,5060.05359999996
2,199,"Should the sale of genetically modified food be banned?","Genetically modified food endangers the health of people who consume it",11,0,0,0,2533.37040000002
3,184,"Should nuclear energy replace fossil fuels?","There is a concern in nuclear reactor safety and potential disaster to stakeholders",13,63.01205,37.71084,0,3211.9616
4,166,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","The ability for people to control their own reproduction is fundamental to achieving gender equality",15,92.16867,80.12048,0,3208.31360000001
5,194,"Should religion be involved in politics?","Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army",15,50,50,0,6845.35520000003
6,202,"Should the sale of genetically modified food be banned?","Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies",12,100,75.54217,0,3064.2352
7,227,"Should the use of plastic be avoided?","As long as it is reusable, there is nothing wrong with plastic",12,50,29.51807,0,1708.5032
8,286,"Should we adapt to climate change rather than avert it?","Adapting to climate change would be faster than averting it",10,66.14458,33.9759,0,2183.43510000005
9,213,"Is Eating Meat Wrong?","Vegetarian diets directly and indirectly contribute to better health outcomes for all humans",13,69.39759,52.53012,0,2697.48159999996
10,220,"Should the use of plastic be avoided?","The less plastic we use, the less plastic pollution there will be",12,60.24096,70.72289,0,1941.65839999999
11,221,"Should the use of plastic be avoided?","The less plastic we use, the less plastic we need to produce",12,65.06024,65.54217,0,3624.83370000002
12,138,"Should lottery be an integral component of democratic political systems?","Politicians elected via lottery would be better at their job",10,50,30.60241,0,5367.89590000002
13,232,"Will man-made climate change cause human extinction?","If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,75.3012,24.6988,0,3816.60880000003
14,152,"Is modern technology a disadvantage to society?","Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,68.79518,16.38554,1,4875.05210000009
15,54,"Do electronic devices help or hurt children's development?","Devices can benefit parents by offering them greater control over their children's development",13,63.73494,40.36145,1,3702.69119999999
16,175,"Should abortion be considered murder?","A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,87.10843,84.93976,0,1833.52880000004
17,212,"Is Eating Meat Wrong?","Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,81.56627,13.13253,0,2616.92639999997
18,200,"Should the sale of genetically modified food be banned?","Genetically modified foods can be harmful to the environment and ecosystems",11,63.73494,37.59036,0,1698.18639999996
19,121,"Is Science Akin To Religion?","Science and religion both need belief in something that you do not personally understand to function",16,56.98795,52.6506,0,3308.55209999996
20,124,"Is Science Akin To Religion?","Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,74.6988,74.21687,0,3041.54790000008
21,242,"Will man-made climate change cause human extinction?","Man-made carbon emissions are likely to protect humans from another ice age",12,50,56.86747,1,4583.40900000002
22,173,"Should abortion be considered murder?","Since death is the intention, such procedures should be considered murder",11,31.80723,45.42169,0,2091.66949999992
23,229,"Will man-made climate change cause human extinction?","The effects of global warming directly threaten the land and environment that humans need to live",16,84.09639,19.15663,0,5899.98649999991
24,119,"Is Science Akin To Religion?","Science and religion both use personal experience as a means to understand existence",13,33.61446,50,0,1858.28960000002
25,112,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation is absorbed more by children's brains than by adult's brains",13,50,12.40964,1,2391.69909999997
26,150,"Is modern technology a disadvantage to society?","Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,50,39.15663,1,6124.78099999976
27,116,"Is radiation from cell phones and Wi-Fi harmful?","Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50,18.91566,0,2791.62149999998
28,49,"Did a divine being create the universe?","Science offers alternative explanations for the origin of the universe",10,33.9759,50,1,1691.56150000001
29,26,"Are Humans fundamentally different from other animals?","All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,68.31325,41.3253,1,5271.0823999999
30,281,"Should there be no limit to freedom of speech?","One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,68.91566,43.25301,0,3258.43439999988
31,155,"Is modern technology a disadvantage to society?","Technologically backwards countries have no power on the global stage",10,73.61446,17.10843,0,2050.00489999997
32,272,"Should there be no limit to freedom of speech?","Censorship leads to narrow mindedness by preventing sincere and open discussion",11,42.40964,48.43373,0,4521.03180000003
33,162,"Should some people feel obliged to change their lifestyle to combat global warming?","People living in privileged positions have a moral responsibility to change their lifestyles",13,86.98795,27.71084,0,4668.30169999989
34,123,"Is Science Akin To Religion?","Science is highly dynamic and constantly evolving; religions are usually static and conservatory",13,68.19277,50,0,4158.59660000002
35,290,"Should we adapt to climate change rather than avert it?","If we decide to adapt to climate change, then we will lose the ability to avert it",17,50,12.89157,0,3966.88239999994
36,113,"Is radiation from cell phones and Wi-Fi harmful?","Cell phone radiation increases the permeability of the blood-brain barrier",10,50,3.25301,1,2725.2239999999
37,288,"Should we adapt to climate change rather than avert it?","Humanity has a long history of successfully adapting to climate change",11,50,24.33735,0,2808.69839999997
38,247,"Should all drugs be legalised?","Using drugs can be an important and positive experience for individuals and communities",13,80.84337,52.6506,0,2441.61660000001
39,136,"Should lottery be an integral component of democratic political systems?","Politics would be more representative under a lottery system",9,76.74699,77.59036,0,2058.37919999997
40,29,"Are Humans fundamentally different from other animals?","Genetics prove humans are fundamentally very similar to other species",10,50,50,1,2033.24700000009
41,222,"Should the use of plastic be avoided?","Plastics are exported and, therefore, less plastic reduces emissions that result from transportation",13,76.74699,77.83133,0,7583.66000000004
42,149,"Is modern technology a disadvantage to society?","Relying too heavily on technology makes a society vulnerable",9,76.0241,13.9759,0,1651.88630000004
43,158,"Should some people feel obliged to change their lifestyle to combat global warming?","Politicians and political parties should be responsible for enacting the laws and regulations necessary to make changes at scale",19,62.40964,42.16867,0,4591.72090000001
44,188,"Should religion be involved in politics?","The involvement of religion in politics is necessary to ensure laws and policies are ethical",15,18.55422,23.49398,1,6957.6470000002
45,130,"Is social media helping or harming human relationships?","Social media has made it easier to communicate, improving the quality of communication",13,81.56627,37.22892,0,2566.60500000007
46,190,"Should religion be involved in politics?","Almost all laws are based on moral beliefs, therefore it is appropriate for religious persons to be involved in politics",20,23.37349,24.21687,0,3750.27019999994
47,216,"Is Eating Meat Wrong?","The taste of meat is delicious and brings many people pleasure in a manner that vegetarian food cannot fully imitate",20,66.74699,16.0241,0,2291.65280000004
48,198,"Should Sex Work Be Legal?","The legalisation of sex work increases its prevalence, resulting in more harm",12,21.44578,40.12048,0,2740.83929999999
49,132,"Is social media helping or harming human relationships?","Social media allows users to connect with more people",9,75.42169,40.24096,0,3408.56239999997
50,24,"Are Humans fundamentally different from other animals?","Humans have Human Consciousness which is ontologically and fundamentally different than any other form of consciousness",16,40.12048,42.77108,0,3081.73260000005
51,230,"Will man-made climate change cause human extinction?","Animal species have already started to become extinct. Human extinction is likely to follow",14,86.14458,8.07229,0,3825.6041
52,62,"Do electronic devices help or hurt children's development?","Boredom sparks creativity but with a smartphone children are never bored and don't learn to be creative",17,77.71084,29.63855,0,4208.29430000007
53,115,"Is radiation from cell phones and Wi-Fi harmful?","The effects of cell phones and Wi-Fi are minimal at best",11,50,71.56627,0,3283.35369999992
54,164,"Pro-Life vs Pro-Choice: Should Abortion be Legal?","People have a right to bodily autonomy and should ultimately be able to make choices about what happens to their bodies",21,80.36145,78.31325,0,2258.37580000021
55,204,"Should the sale of genetically modified food be banned?","GMOs are more cost effective than unmodified foods, bringing many benefits",11,69.03614,70.36145,0,2958.72900000005
56,60,"Do electronic devices help or hurt children's development?","Devices can negatively affect children's social and psychological development",9,82.40964,36.50602,0,1641.86950000009
57,236,"Will man-made climate change cause human extinction?","Climate Change is slow. We can adapt within that timeframe",10,22.04819,31.92771,0,3200.06960000011
58,245,"Should all drugs be legalised?","The enforcement of the criminalisation of drugs has harmed communities around the world and should be stopped",17,79.03614,30.84337,0,2042.5608000001
59,217,"Is Eating Meat Wrong?","Consuming meat is an important part of many cultures and religions",11,65.3012,50,0,2283.32009999984
60,195,"Should Sex Work Be Legal?","The government has no right to outlaw an interaction between consenting adults",12,87.83133,53.13253,0,1800.11990000022
61,143,"Should lottery be an integral component of democratic political systems?","Being appointed to a position of power by lottery would leave many people overwhelmed and unprepared",16,83.25301,21.08434,1,2792.20010000013
62,56,"Do electronic devices help or hurt children's development?","Electronic devices help differently abled children read and write like other kids",12,75.78313,59.51807,0,3199.45989999996
63,219,"Is Eating Meat Wrong?","Eating meat is a key element of human nature, evolution, and physiology/biology and thus its consumption is inherent to humankind",20,75.3012,26.86747,0,4258.13449999999
64,134,"Is social media helping or harming human relationships?","Social media is shown to induce depression in individuals",9,50,35.42169,0,3825.76940000016
65,47,"Did a divine being create the universe?","Many complex phenomena and interactions in the universe indicate the work of a creator",14,64.09639,35.06024,1,5125.41450000013
66,31,"Is Darwinian Evolution Philosophy or Science?","No single example of evolution has ever been documented",9,50,21.92771,1,6267.1088000001
