Order,Index,Topic,Argument,Words,Agreement,Emotions,New
1,156,Is modern technology a disadvantage to society?,Many societies would not be possible without modern technology - especially large urbanized societies,14,71.68675,42.40964,0
2,199,Should the sale of genetically modified food be banned?,Genetically modified food endangers the health of people who consume it,11,64.57831,40.36145,0
3,184,Should nuclear energy replace fossil fuels?,There is a concern in nuclear reactor safety and potential disaster to stakeholders,13,61.08434,39.75904,0
4,166,Pro-Life vs Pro-Choice: Should Abortion be Legal?,The ability for people to control their own reproduction is fundamental to achieving gender equality,15,65.54217,33.01205,0
5,194,Should religion be involved in politics?,Politics and religion should be put aside. Three aspects of life should NOT co-exist: religion-state-army,15,96.26506,50.0,0
6,202,Should the sale of genetically modified food be banned?,Genetically modified crops can work towards mitigating world hunger and nutritional deficiencies,12,50.0,18.91566,1
7,227,Should the use of plastic be avoided?,"As long as it is reusable, there is nothing wrong with plastic",12,78.31325,77.59036,0
8,286,Should we adapt to climate change rather than avert it?,Adapting to climate change would be faster than averting it,10,27.59036,0.0,0
9,213,Is Eating Meat Wrong?,Vegetarian diets directly and indirectly contribute to better health outcomes for all humans,13,76.50602,71.44578,0
10,220,Should the use of plastic be avoided?,"The less plastic we use, the less plastic pollution there will be",12,100.0,100.0,0
11,221,Should the use of plastic be avoided?,"The less plastic we use, the less plastic we need to produce",12,100.0,100.0,0
12,138,Should lottery be an integral component of democratic political systems?,Politicians elected via lottery would be better at their job,10,59.03614,50.0,1
13,232,Will man-made climate change cause human extinction?,"If tipping points are reached, the collapse of ecosystems can lead to the extinction of the human race",18,77.3494,0.0,0
14,152,Is modern technology a disadvantage to society?,"Modern Technology is outpacing our ability to comprehend, write and approve any effective policy that can protect us from technological harm",21,50.0,50.0,1
15,54,Do electronic devices help or hurt children's development?,Devices can benefit parents by offering them greater control over their children's development,13,22.04819,15.90361,0
16,175,Should abortion be considered murder?,"A fetus or embryo is not a person; therefore, abortion should not be considered murder",15,13.9759,0.0,0
17,212,Is Eating Meat Wrong?,"Eating meat, in the majority of cases, involves the cruel and immoral treatment of animals",15,73.85542,27.46988,0
18,200,Should the sale of genetically modified food be banned?,Genetically modified foods can be harmful to the environment and ecosystems,11,50.0,0.0,1
19,121,Is Science Akin To Religion?,Science and religion both need belief in something that you do not personally understand to function,16,6.62651,50.0,1
20,124,Is Science Akin To Religion?,"Unlike religion, science is based on evidence and experimentation, which is a more reliable methodology for attaining truth",18,100.0,50.0,0
21,242,Will man-made climate change cause human extinction?,Man-made carbon emissions are likely to protect humans from another ice age,12,50.0,50.0,1
22,173,Should abortion be considered murder?,"Since death is the intention, such procedures should be considered murder",11,77.95181,0.0,0
23,229,Will man-made climate change cause human extinction?,The effects of global warming directly threaten the land and environment that humans need to live,16,100.0,0.0,0
24,119,Is Science Akin To Religion?,Science and religion both use personal experience as a means to understand existence,13,63.01205,50.0,1
25,112,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation is absorbed more by children's brains than by adult's brains,13,50.0,50.0,1
26,150,Is modern technology a disadvantage to society?,"Technology allows individuals to own or control property at a distance, lessening that individual's direct responsibility for the property",19,82.89157,50.48193,0
27,116,Is radiation from cell phones and Wi-Fi harmful?,"Cell phones and Wi-Fi emit non-ionising radiation, which is not harmful in small doses",14,50.0,50.0,1
28,49,Did a divine being create the universe?,Science offers alternative explanations for the origin of the universe,10,60.84337,50.0,0
29,26,Are Humans fundamentally different from other animals?,"All animals are fundamentally different from each other, and there's nothing unique about humans that separate them from animals",19,36.98795,50.0,0
30,281,Should there be no limit to freedom of speech?,"One person's freedom ends where another's begins: offensive, threatening speech should be illegal",13,69.51807,40.0,0
31,155,Is modern technology a disadvantage to society?,Technologically backwards countries have no power on the global stage,10,63.49398,35.90361,0
32,272,Should there be no limit to freedom of speech?,Censorship leads to narrow mindedness by preventing sincere and open discussion,11,100.0,0.0,0
33,162,Should some people feel obliged to change their lifestyle to combat global warming?,People living in privileged positions have a moral responsibility to change their lifestyles,13,67.59036,50.0,0
34,123,Is Science Akin To Religion?,Science is highly dynamic and constantly evolving; religions are usually static and conservatory,13,72.89157,50.0,1
35,290,Should we adapt to climate change rather than avert it?,"If we decide to adapt to climate change, then we will lose the ability to avert it",17,100.0,37.10843,0
36,113,Is radiation from cell phones and Wi-Fi harmful?,Cell phone radiation increases the permeability of the blood-brain barrier,10,50.0,50.0,1
37,288,Should we adapt to climate change rather than avert it?,Humanity has a long history of successfully adapting to climate change,11,69.03614,50.0,0
38,247,Should all drugs be legalised?,Using drugs can be an important and positive experience for individuals and communities,13,63.37349,42.77108,0
